Year,File Name,File Date,Record Count,Status (Sent or Pending)
2005,e62533,12/01/2005,14986,
2005,e62533,12/01/2005,26925,
2005,e62533,12/01/2005,4265,
2006,e65073,01/01/2006,27409,
2006,e65073,01/01/2006,37297,
2006,e65073,01/01/2006,6774,
2006,e68231,02/01/2006,33417,
2006,e68231,02/01/2006,23448,
2006,e68231,02/01/2006,4096,
2006,e71909,03/01/2006,30304,
2006,e71909,03/01/2006,4080,
2006,e71909,03/01/2006,23142,
2006,e75612,04/01/2006,28943,
2006,e75612,04/01/2006,3773,
2006,e75612,04/01/2006,22074,
2006,e78492,05/01/2006,5154,
2006,e78492,05/01/2006,26120,
2006,e78492,05/01/2006,37302,
2006,e81693,06/01/2006,22504,
2006,e81693,06/01/2006,29398,
2006,e81693,06/01/2006,4026,
2006,e86550,07/01/2006,26440,
2006,e86550,07/01/2006,35011,
2006,e86550,07/01/2006,4921,
2006,e89045,08/01/2006,20592,
2006,e89045,08/01/2006,28641,
2006,e89045,08/01/2006,4360,
2006,e93409,09/01/2006,20970,
2006,e93409,09/01/2006,28982,
2006,e93409,09/01/2006,4354,
2006,e96548,10/01/2006,37020,
2006,e96548,10/01/2006,25805,
2006,e96548,10/01/2006,5459,
2006,e100310,11/01/2006,27131,
2006,e100310,11/01/2006,19635,
2006,e100310,11/01/2006,5608,
2006,e103872,12/01/2006,20539,
2006,e103872,12/01/2006,5635,
2006,e103872,12/01/2006,31726,
2007,e109755,01/01/2007,30699,
2007,e109755,01/01/2007,40479,
2007,e109755,01/01/2007,5202,
2007,e113554,02/01/2007,34448,
2007,e113554,02/01/2007,24146,
2007,e113554,02/01/2007,4342,
2007,e118021,03/01/2007,29894,
2007,e118021,03/01/2007,4440,
2007,e118021,03/01/2007,21884,
2007,e124667,04/01/2007,40366,
2007,e124667,04/01/2007,6087,
2007,e124667,04/01/2007,24698,
2007,e128884,05/01/2007,21883,
2007,e128884,05/01/2007,28795,
2007,e128884,05/01/2007,4865,
2007,e133494,06/01/2007,4975,
2007,e133494,06/01/2007,29970,
2007,e133494,06/01/2007,19028,
2007,e138082,07/01/2007,22846,
2007,e138082,07/01/2007,29580,
2007,e138082,07/01/2007,2534,
2007,e143726,08/01/2007,30868,
2007,e143726,08/01/2007,6390,
2007,e143726,08/01/2007,38250,
2007,e148773,09/01/2007,7082,
2007,e148773,09/01/2007,32674,
2007,e148773,09/01/2007,21492,
2007,e155192,10/01/2007,6853,
2007,e155192,10/01/2007,28598,
2007,e155192,10/01/2007,42089,
2007,e160076,11/01/2007,6965,
2007,e160076,11/01/2007,32619,
2007,e160076,11/01/2007,22561,
2007,e164422,12/01/2007,19597,
2007,e164422,12/01/2007,7322,
2007,e164422,12/01/2007,31929,
2008,e170480,01/01/2008,5997,
2008,e170480,01/01/2008,25774,
2008,e170480,01/01/2008,37440,
2008,e176811,02/01/2008,31909,
2008,e176811,02/01/2008,4646,
