Year,File Name,File Date,Record Count,Status (Sent or Pending)
2010,NIS_YTD2011.TXT,07/01/2010,1641559,
2011,NIS_YTD2012.TXT,07/01/2011,1687375,
2012,NIS_YTD2013.TXT,07/01/2012,1464691,
2013,NIS_YTD2014.TXT,07/01/2013,1299340,
2014,nis_ytd_FY15.txt,07/01/2014,745173,
2015,nis_ytd_FY16.txt,07/01/2015,784861,
2016,nis_ytd_FY17.txt,07/01/2016,749030,
2017,nis_ytd_FY18.txt,07/01/2017,464584,
2018,NIS_MTD_201807.TXT,07/01/2018,61888,
2018,NIS_MTD_201808.TXT,08/01/2018,71466,
2018,NIS_MTD_201809.TXT,09/01/2018,62549,
2018,NIS_MTD_201810.TXT,10/01/2018,71595,
2018,NIS_MTD_201811.TXT,11/01/2018,61562,
2018,NIS_MTD_201812.TXT,12/01/2018,61940,
2019,NIS_MTD_201901.TXT,01/01/2019,62037,
2019,NIS_MTD_201902.TXT,02/01/2019,60358,
2019,NIS_MTD_201903.TXT,03/01/2019,62540,
2019,NIS_MTD_201904.TXT,04/01/2019,60306,
2019,NIS_MTD_201905.TXT,05/01/2019,60306,
2019,NIS_MTD_201906.TXT,06/01/2019,60535,
2019,NIS_MTD_201907.TXT,07/01/2019,62374,
2019,NIS_MTD_201908.TXT,08/01/2019,57583,
2019,NIS_MTD_201909.TXT,09/01/2019,59870,
2019,NIS_MTD_201910.TXT,10/01/2019,60607,
2019,NIS_MTD_201911.TXT,11/01/2019,57376,
2019,NIS_MTD_201912.TXT,12/01/2019,63873,
2020,NIS_MTD_202001.TXT,01/01/2020,62425,
2020,NIS_MTD_202002.TXT,02/01/2020,59800,
2020,NIS_MTD_202003.TXT,03/01/2020,61641,
2020,NIS_MTD_202004.TXT,04/01/2020,61712,
2020,NIS_MTD_202005.TXT,05/01/2020,55174,
2020,NIS_MTD_202006.TXT,06/01/2020,59450,
2020,NIS_MTD_202007.TXT,07/01/2020,59789,
2020,NIS_MTD_202008.TXT,08/01/2020,60203,
2020,NIS_MTD_202009.TXT,09/01/2020,56616,
2020,NIS_MTD_202010.TXT,10/01/2020,56101,
2020,NIS_MTD_202011.TXT,11/01/2020,57920,
2020,NIS_MTD_202012.TXT,12/01/2020,109840,
2021,NIS_MTD_202101.TXT,01/01/2021,55628,
2021,NIS_MTD_202102.TXT,02/01/2021,58414,
2021,NIS_MTD_202103.TXT,03/01/2021,61329,
2021,NIS_MTD_202104.TXT,04/01/2021,54209,
2021,NIS_MTD_202105.TXT,05/01/2021,52860,
2021,NIS_MTD_202106.TXT,06/01/2021,61206,
2021,NIS_MTD_202107.TXT,07/01/2021,55639,
2021,NIS_MTD_202108.TXT,08/01/2021,61220,
2021,NIS_MTD_202109.TXT,09/01/2021,58648,
2021,NIS_MTD_202110.TXT,10/01/2021,54516,
2021,NIS_MTD_202111.TXT,11/01/2021,55924,
2021,NIS_MTD_202112.TXT,12/01/2021,58135,
2022,NIS_MTD_202201.TXT,01/01/2022,53182,
2022,NIS_MTD_202202.TXT,02/01/2022,53357,
2022,NIS_MTD_202203.TXT,03/01/2022,64102,
2022,NIS_MTD_202204.TXT,04/01/2022,55384,
2022,NIS_MTD_202205.TXT,05/01/2022,59858,
2022,NIS_MTD_202206.TXT,06/01/2022,69874,
2022,NIS_MTD_202207.TXT,07/01/2022,55884,
2022,NIS_MTD_202208.TXT,08/01/2022,70140,
2022,NIS_MTD_202209.TXT,09/01/2022,57786,
2022,NIS_MTD_202210.TXT,10/01/2022,54811,
2022,NIS_MTD_202211.TXT,11/01/2022,64078,
2022,NIS_MTD_202212.TXT,12/01/2022,56786,
2023,NIS_MTD_202301.TXT,01/01/2023,55967,
