Year,File Name,File Date,Record Count,Status (Sent or Pending)
2006,e63254,01/01/2006,1414102,
2006,e66240,02/01/2006,1145876,
2006,e69491,03/01/2006,1110651,
2006,e72975,04/01/2006,1129855,
2006,e76949,05/01/2006,1522784,
2006,e79633,06/01/2006,1024100,
2006,e84133,07/01/2006,1425079,
2006,e87399,08/01/2006,1211088,
2006,e90321,09/01/2006,1108331,
2006,e94893,10/01/2006,1471370,
2006,e98110,11/01/2006,1087025,
2006,e101296,12/01/2006,1267085,
2007,e106011,01/01/2007,1432942,
2007,e111400,02/01/2007,1205663,
2007,e114993,03/01/2007,1117907,
2007,e121923,04/01/2007,1595914,
2007,e126887,05/01/2007,1227793,
2007,e130733,06/01/2007,1062530,
2007,e135961,07/01/2007,1438191,
2007,e139872,08/01/2007,1036521,
2007,e144849,09/01/2007,1173224,
2007,e153208,10/01/2007,1584242,
2007,e156855,11/01/2007,1102331,
2007,e161847,12/01/2007,1502204,
2008,e167121,01/01/2008,1118452,
2008,e172948,02/01/2008,1132293,
2008,e178840,03/01/2008,1637992,
2008,e185527,04/01/2008,1181405,
2008,e191506,05/01/2008,1213704,
2008,e198879,06/01/2008,1401970,
2008,e207359,07/01/2008,1154460,
2008,e214880,08/01/2008,1134587,
2008,e222619,09/01/2008,1531837,
2008,e229653,10/01/2008,1111399,
2008,e236871,11/01/2008,1272431,
2008,e243388,12/01/2008,1347126,
2009,e249552,01/01/2009,1081378,
2009,e256562,02/01/2009,1258077,
2009,e265178,03/01/2009,1703527,
2009,e272609,04/01/2009,1280874,
2009,e280234,05/01/2009,1267894,
2009,e287653,06/01/2009,1502659,
2009,e295087,07/01/2009,1085279,
2009,e303448,08/01/2009,1683926,
2009,e310437,09/01/2009,1292298,
2009,e319276,10/01/2009,1317410,
2009,e328071,11/01/2009,1895601,
2009,e337116,12/01/2009,1228186,
2010,e345292,01/01/2010,1250983,
2010,e353703,02/01/2010,1446541,
2010,e365085,03/01/2010,1896424,
2010,e378179,04/01/2010,1312626,
2010,e393198,05/01/2010,1418462,
2010,e406463,06/01/2010,1720427,
2010,e419937,07/01/2010,1233007,
2010,e433525,08/01/2010,1770944,
2010,e445396,09/01/2010,1207807,
2010,e499515,10/01/2010,1324674,
2010,e519808,11/01/2010,1689984,
2010,e536367,12/01/2010,1209098,
2011,e552594,01/01/2011,1644311,
2011,e567853,02/01/2011,1318030,
2011,e581918,03/01/2011,1257501,
2011,e597946,04/01/2011,1363171,
2011,e614953,05/01/2011,1700571,
2011,e628912,06/01/2011,1199873,
2011,e653747,07/01/2011,1354225,
2011,e697204,08/01/2011,1886093,
2011,e732994,09/01/2011,1227306,
2011,e779726,10/01/2011,1709211,
2011,e802017,11/01/2011,1263845,
2011,e817583,12/01/2011,1329605,
2012,e834712,01/01/2012,1603325,
2012,e849768,02/01/2012,1462200,
2012,e863777,03/01/2012,1424788,
2012,e880036,04/01/2012,1825265,
2012,e900367,05/01/2012,1385516,
2012,e909817,06/01/2012,1165274,
2012,e925783,07/01/2012,1753565,
2012,e944616,08/01/2012,1071315,
2012,e958895,09/01/2012,1196015,
2012,e976768,10/01/2012,1596443,
2012,e995490,11/01/2012,951618,
2012,e1012702,12/01/2012,1485129,
2013,e1031231,01/01/2013,927009,
2013,e1045338,02/01/2013,1139072,
2013,e1060437,03/01/2013,1179472,
2013,e1084706,04/01/2013,1509527,
2013,e1101808,05/01/2013,946567,
2013,e1117705,06/01/2013,1066651,
2013,e1143223,07/01/2013,1226604,
2013,e1160695,08/01/2013,1061042,
2013,e1181211,09/01/2013,1578947,
2013,e1200642,10/01/2013,1210745,
2013,e1221037,11/01/2013,1234814,
2013,e1238964,12/01/2013,1369278,
2014,e1258542,01/01/2014,1176550,
2014,e1277154,02/01/2014,1258866,
2014,MED8.NMC.DMA.FFSCLM.MAR14,03/01/2014,1560448,
2014,e1314563,04/01/2014,1236642,
2014,e1333571,05/01/2014,1187457,
2014,e1353929,06/01/2014,1401933,
2014,e1372756,07/01/2014,1164808,
2014,e1391999,08/01/2014,1202234,
2014,e1411332,09/01/2014,1421475,
2014,e1430532,10/01/2014,1240126,
2014,e1448798,11/01/2014,1200719,
2014,e1470029,12/01/2014,1335801,
2015,e1494071,01/01/2015,1156958,
2015,e1505637,02/01/2015,1202154,
2015,e1525134,03/01/2015,1493340,
2015,e1544938,04/01/2015,1192323,
2015,e1563601,05/01/2015,1293998,
2015,e1583529,06/01/2015,1386947,
2015,e1674693,07/01/2015,1150264,
2015,e1699030,08/01/2015,1377163,
