Year,File Name,File Date,Record Count,Status (Sent or Pending)
2020,MED8.MDFFSCLM.DMA,03/01/2020,594,
2020,MED8.MDFFSCLM.DMA,03/01/2020,86,
2020,MED8.MDFFSCLM.DMA,03/01/2020,36,
2020,MED8.MDFFSCLM.DMA,03/01/2020,8057,
2020,MED8.MDFFSCLM.DMA,03/01/2020,14,
2020,MED8.MDFFSCLM.DMA,03/01/2020,2304,
2020,MED8.MDFFSCLM.DMA,03/01/2020,3247,
2020,MCN8.NMC7.C29.MDFFSCLM.DMA,04/01/2020,4261,
2020,MCN8.NMC7.C29.MDFFSCLM.DMA,04/01/2020,420,
2020,MCN8.NMC7.C29.MDFFSCLM.DMA,04/01/2020,2947,
2020,MCN8.NMC7.C29.MDFFSCLM.DMA,04/01/2020,1484,
2020,MCN8.NMC7.C29.MDFFSCLM.DMA,04/01/2020,20,
2020,MCN8.NMC7.C29.MDFFSCLM.DMA,04/01/2020,2,
2020,MCN8.NMC7.C29.MDFFSCLM.DMA,04/01/2020,100,
2020,MED8.WELZ590.MDFFSCLM.DMA,05/01/2020,5,
2020,MED8.WELZ590.MDFFSCLM.DMA,05/01/2020,5455,
2020,MED8.WELZ590.MDFFSCLM.DMA,05/01/2020,371,
2020,MED8.WELZ590.MDFFSCLM.DMA,05/01/2020,124,
2020,MED8.WELZ590.MDFFSCLM.DMA,05/01/2020,3,
2020,MED8.WELZ590.MDFFSCLM.DMA,05/01/2020,1411,
2020,MED8.WELZ590.MDFFSCLM.DMA,05/01/2020,2814,
2020,MED8.WELZ590.MDFFSCLM.DMA,06/01/2020,820,
2020,MED8.WELZ590.MDFFSCLM.DMA,06/01/2020,141,
2020,MED8.WELZ590.MDFFSCLM.DMA,06/01/2020,22,
2020,MED8.WELZ590.MDFFSCLM.DMA,06/01/2020,6067,
2020,MED8.WELZ590.MDFFSCLM.DMA,06/01/2020,7,
2020,MED8.WELZ590.MDFFSCLM.DMA,06/01/2020,1638,
2020,MED8.WELZ590.MDFFSCLM.DMA,06/01/2020,2551,
2020,NMC7.MDFFSCLM.DMA,07/01/2020,513,
2020,NMC7.MDFFSCLM.DMA,07/01/2020,116,
2020,NMC7.MDFFSCLM.DMA,07/01/2020,12,
2020,NMC7.MDFFSCLM.DMA,07/01/2020,7,
2020,NMC7.MDFFSCLM.DMA,07/01/2020,1544,
2020,NMC7.MDFFSCLM.DMA,07/01/2020,2854,
2020,NMC7.MDFFSCLM.DMA,07/01/2020,5299,
2020,NMC7.MDFFSCLM.DMA,08/01/2020,7849,
2020,NMC7.MDFFSCLM.DMA,08/01/2020,536,
2020,NMC7.MDFFSCLM.DMA,08/01/2020,116,
2020,NMC7.MDFFSCLM.DMA,08/01/2020,29,
2020,NMC7.MDFFSCLM.DMA,08/01/2020,10,
2020,NMC7.MDFFSCLM.DMA,08/01/2020,2048,
2020,NMC7.MDFFSCLM.DMA,08/01/2020,2855,
2020,NMC7.MDFFSCLM.DMA,09/01/2020,6143,
2020,NMC7.MDFFSCLM.DMA,09/01/2020,1432,
2020,NMC7.MDFFSCLM.DMA,09/01/2020,1404,
2020,NMC7.MDFFSCLM.DMA,09/01/2020,19,
2020,NMC7.MDFFSCLM.DMA,09/01/2020,58,
2020,NMC7.MDFFSCLM.DMA,09/01/2020,49,
2020,NMC7.MDFFSCLM.DMA,09/01/2020,403,
2020,NMC7.MDFFSCLM.DMA,10/01/2020,44,
2020,NMC7.MDFFSCLM.DMA,10/01/2020,10127,
2020,NMC7.MDFFSCLM.DMA,10/01/2020,460,
2020,NMC7.MDFFSCLM.DMA,10/01/2020,72,
2020,NMC7.MDFFSCLM.DMA,10/01/2020,10,
2020,NMC7.MDFFSCLM.DMA,10/01/2020,1515,
2020,NMC7.MDFFSCLM.DMA,10/01/2020,1737,
2020,NMC7.MDFFSCLM.DMA,11/01/2020,8,
2020,NMC7.MDFFSCLM.DMA,11/01/2020,51,
2020,NMC7.MDFFSCLM.DMA,11/01/2020,128,
2020,NMC7.MDFFSCLM.DMA,11/01/2020,658,
2020,NMC7.MDFFSCLM.DMA,11/01/2020,9122,
2020,NMC7.MDFFSCLM.DMA,11/01/2020,1092,
2020,NMC7.MDFFSCLM.DMA,11/01/2020,1182,
2020,NMC7.MDFFSCLM.DMA,12/01/2020,547,
2020,NMC7.MDFFSCLM.DMA,12/01/2020,40,
2020,NMC7.MDFFSCLM.DMA,12/01/2020,12,
2020,NMC7.MDFFSCLM.DMA,12/01/2020,108,
2020,NMC7.MDFFSCLM.DMA,12/01/2020,178,
2020,NMC7.MDFFSCLM.DMA,12/01/2020,92,
2020,NMC7.MDFFSCLM.DMA,12/01/2020,7182,
2021,NMC7.MDFFSCLM.DMA,01/01/2021,373,
2021,NMC7.MDFFSCLM.DMA,01/01/2021,21,
2021,NMC7.MDFFSCLM.DMA,01/01/2021,115,
2021,NMC7.MDFFSCLM.DMA,01/01/2021,452,
2021,NMC7.MDFFSCLM.DMA,01/01/2021,7106,
2021,NMC7.MDFFSCLM.DMA,01/01/2021,5,
2021,NMC7.MDFFSCLM.DMA,01/01/2021,104,
2021,NMC7.MDFFSCLM.DMA,02/01/2021,6423,
2021,NMC7.MDFFSCLM.DMA,02/01/2021,579,
2021,NMC7.MDFFSCLM.DMA,02/01/2021,139,
2021,NMC7.MDFFSCLM.DMA,02/01/2021,20,
2021,NMC7.MDFFSCLM.DMA,02/01/2021,8,
2021,NMC7.MDFFSCLM.DMA,02/01/2021,4239,
2021,NMC7.MDFFSCLM.DMA,02/01/2021,5430,
2021,NMC7.MDFFSCLM.DMA,03/01/2021,7604,
2021,NMC7.MDFFSCLM.DMA,03/01/2021,2189,
2021,NMC7.MDFFSCLM.DMA,03/01/2021,1580,
2021,NMC7.MDFFSCLM.DMA,03/01/2021,21,
2021,NMC7.MDFFSCLM.DMA,03/01/2021,859,
2021,NMC7.MDFFSCLM.DMA,03/01/2021,48,
2021,NMC7.MDFFSCLM.DMA,03/01/2021,161,
2021,NMC7.MDFFSCLM.DMA,04/01/2021,1328,
2021,NMC7.MDFFSCLM.DMA,04/01/2021,6498,
2021,NMC7.MDFFSCLM.DMA,04/01/2021,768,
2021,NMC7.MDFFSCLM.DMA,04/01/2021,72,
2021,NMC7.MDFFSCLM.DMA,04/01/2021,43,
2021,NMC7.MDFFSCLM.DMA,04/01/2021,7,
2021,NMC7.MDFFSCLM.DMA,04/01/2021,1875,
2021,NMC7.MDFFSCLM.DMA,05/01/2021,1403,
2021,NMC7.MDFFSCLM.DMA,05/01/2021,1798,
2021,NMC7.MDFFSCLM.DMA,05/01/2021,2,
2021,NMC7.MDFFSCLM.DMA,05/01/2021,2,
2021,NMC7.MDFFSCLM.DMA,05/01/2021,132,
2021,NMC7.MDFFSCLM.DMA,05/01/2021,206,
2021,NMC7.MDFFSCLM.DMA,05/01/2021,6395,
2021,NMC7.MDFFSCLM.DMA,06/01/2021,4,
2021,NMC7.MDFFSCLM.DMA,06/01/2021,7480,
2021,NMC7.MDFFSCLM.DMA,06/01/2021,1639,
2021,NMC7.MDFFSCLM.DMA,06/01/2021,1892,
2021,NMC7.MDFFSCLM.DMA,06/01/2021,419,
2021,NMC7.MDFFSCLM.DMA,06/01/2021,74,
2021,NMC7.MDFFSCLM.DMA,06/01/2021,4,
2021,NMC7.MDFFSCLM.DMA,07/01/2021,17,
2021,NMC7.MDFFSCLM.DMA,07/01/2021,1,
2021,NMC7.MDFFSCLM.DMA,07/01/2021,67,
2021,NMC7.MDFFSCLM.DMA,07/01/2021,523,
2021,NMC7.MDFFSCLM.DMA,07/01/2021,5623,
2021,NMC7.MDFFSCLM.DMA,07/01/2021,1289,
2021,NMC7.MDFFSCLM.DMA,07/01/2021,1155,
2021,NMC7.MDFFSCLM.DMA,08/01/2021,101,
2021,NMC7.MDFFSCLM.DMA,08/01/2021,545,
2021,NMC7.MDFFSCLM.DMA,08/01/2021,6981,
