Year,File Name,File Date,Record Count,Status (Sent or Pending)
2006,e63061,01/01/2006,18982,
2006,e66142,02/01/2006,17787,
2006,e69379,03/01/2006,18402,
2006,e72934,04/01/2006,17564,
2006,e76806,05/01/2006,20475,
2006,e79540,06/01/2006,18419,
2006,e83825,07/01/2006,20813,
2006,e87272,08/01/2006,19203,
2006,e90213,09/01/2006,17831,
2006,e94705,10/01/2006,21712,
2006,e97951,11/01/2006,17556,
2006,e101134,12/01/2006,21236,
2007,e105821,01/01/2007,23986,
2007,e111265,02/01/2007,22919,
2007,e114836,03/01/2007,24438,
2007,e120643,04/01/2007,26121,
2007,e126635,05/01/2007,23595,
2007,e130631,06/01/2007,24849,
2007,e135781,07/01/2007,26585,
2007,e139638,08/01/2007,24128,
2007,e143724,09/01/2007,22146,
2007,e151824,10/01/2007,29230,
2007,e156540,11/01/2007,22442,
2007,e161731,12/01/2007,28032,
2008,e166901,01/01/2008,25094,
2008,e172753,02/01/2008,23971,
2008,e178623,03/01/2008,28667,
2008,e185256,04/01/2008,24445,
2008,e191205,05/01/2008,25008,
2008,e198594,06/01/2008,28252,
2008,e206699,07/01/2008,24972,
2008,e214609,08/01/2008,25576,
2008,e222347,09/01/2008,27902,
2008,e229377,10/01/2008,25170,
2008,e236433,11/01/2008,25835,
2008,e243133,12/01/2008,26093,
2009,e249290,01/01/2009,25317,
2009,e256287,02/01/2009,24591,
2009,e264894,03/01/2009,31732,
2009,e272331,04/01/2009,24268,
2009,e279838,05/01/2009,25464,
2009,e287383,06/01/2009,30494,
2009,e294785,07/01/2009,25324,
2009,e303115,08/01/2009,28406,
2009,e310116,09/01/2009,24796,
2009,e318295,10/01/2009,24695,
2009,e327691,11/01/2009,26943,
2009,e336423,12/01/2009,24990,
2010,e344527,01/01/2010,23017,
2010,e352819,02/01/2010,24028,
2010,e364805,03/01/2010,30970,
2010,e377521,04/01/2010,24619,
2010,e394480,05/01/2010,27714,
2010,e406022,06/01/2010,24534,
2010,e418956,07/01/2010,24252,
2010,e433056,08/01/2010,27578,
2010,e444794,09/01/2010,26045,
2010,e498471,10/01/2010,24687,
2010,e519174,11/01/2010,25845,
2010,e535238,12/01/2010,24413,
2011,e551552,01/01/2011,27106,
2011,e567013,02/01/2011,24261,
2011,e581448,03/01/2011,23148,
2011,e597945,04/01/2011,23048,
2011,e614308,05/01/2011,25193,
2011,e628527,06/01/2011,17903,
2011,e650067,07/01/2011,18251,
2011,e695141,08/01/2011,21497,
2011,e729726,09/01/2011,39960,
2011,e777066,10/01/2011,19915,
2011,e801404,11/01/2011,16020,
2011,e816949,12/01/2011,19237,
2012,e834109,01/01/2012,20423,
2012,e848995,02/01/2012,14081,
2012,e862794,03/01/2012,19773,
2012,e879494,04/01/2012,19451,
2012,e894504,05/01/2012,17169,
2012,e908684,06/01/2012,14718,
2012,e924798,07/01/2012,21447,
2012,e943600,08/01/2012,19074,
2012,e958011,09/01/2012,17437,
2012,e976085,10/01/2012,22559,
2012,e994311,11/01/2012,15537,
2012,e1012266,12/01/2012,20992,
2013,e1028824,01/01/2013,18124,
2013,e1044700,02/01/2013,16363,
2013,e1059543,03/01/2013,19601,
2013,e1084122,04/01/2013,1969,
2013,e1084122,04/01/2013,18224,
2013,e1100793,05/01/2013,18094,
2013,e1116374,06/01/2013,17679,
