Year,File Name,File Date,Record Count,Status (Sent or Pending)
2009,e287384,06/01/2009,4582,
2009,e294786,07/01/2009,4377,
2009,e303116,08/01/2009,4528,
2009,e310117,09/01/2009,4354,
2009,e318296,10/01/2009,4343,
2009,e327692,11/01/2009,4484,
2009,e336424,12/01/2009,4388,
2010,e344528,01/01/2010,4255,
2010,e352820,02/01/2010,4217,
2010,e364806,03/01/2010,4500,
2010,e377522,04/01/2010,4296,
2010,e394481,05/01/2010,4495,
2010,e406023,06/01/2010,4413,
2010,e418957,07/01/2010,4408,
2010,e433057,08/01/2010,4612,
2010,e444795,09/01/2010,4450,
2010,e498472,10/01/2010,4404,
2010,e519175,11/01/2010,4505,
2010,e535246,12/01/2010,4376,
2011,e551553,01/01/2011,4522,
2011,e567014,02/01/2011,4329,
2011,e581449,03/01/2011,4381,
2011,e597948,04/01/2011,4315,
2011,e614309,05/01/2011,4487,
2011,e628528,06/01/2011,4341,
2011,e650068,07/01/2011,4217,
2011,e695143,08/01/2011,4553,
2011,e729730,09/01/2011,5709,
2011,e777067,10/01/2011,4435,
2011,e801405,11/01/2011,4144,
2011,e816950,12/01/2011,4282,
2012,e834108,01/01/2012,4472,
2012,e848996,02/01/2012,4028,
2012,e862793,03/01/2012,4428,
2012,e879493,04/01/2012,4442,
2012,e894503,05/01/2012,4367,
2012,e908683,06/01/2012,4258,
2012,e924799,07/01/2012,4655,
2012,e943599,08/01/2012,4574,
2012,e958012,09/01/2012,4387,
2012,e976084,10/01/2012,4581,
2012,e994315,11/01/2012,4302,
2012,e1012267,12/01/2012,4676,
2013,e1028823,01/01/2013,4496,
2013,e1044699,02/01/2013,4304,
2013,e1059544,03/01/2013,4526,
2013,e1084121,04/01/2013,4691,
2013,e1100792,05/01/2013,4516,
2013,e1116373,06/01/2013,4542,
2013,e1143211,07/01/2013,4763,
2013,e1158915,08/01/2013,4596,
2013,e1180058,09/01/2013,4697,
2013,e1199331,10/01/2013,4375,
2013,e1221033,11/01/2013,4714,
2013,e1238961,12/01/2013,4674,
2014,e1256690,01/01/2014,4601,
2014,e1277123,02/01/2014,4447,
2014,e1299238,03/01/2014,5068,
2014,e1313350,04/01/2014,4814,
2014,e1332184,05/01/2014,4443,
2014,e1353020,06/01/2014,5135,
2014,e1371505,07/01/2014,4744,
2014,e1390471,08/01/2014,4806,
2014,e1410105,09/01/2014,5020,
2014,e1428444,10/01/2014,4749,
2014,e1447478,11/01/2014,4950,
2014,e1466900,12/01/2014,4876,
2015,e1484395,01/01/2015,4495,
2015,e1503940,02/01/2015,4641,
2015,e1523900,03/01/2015,5068,
2015,e1542941,04/01/2015,4799,
2015,e1562453,05/01/2015,4755,
2015,e1582554,06/01/2015,5025,
2015,e1661583,07/01/2015,4713,
2015,e1697772,08/01/2015,5089,
2015,e1715747,09/01/2015,4922,
2015,e1737277,10/01/2015,4619,
2015,e1760553,11/01/2015,4672,
2015,e1778941,12/01/2015,4812,
2016,e1799854,01/01/2016,4423,
2016,e1823077,02/01/2016,4751,
2016,e1845088,03/01/2016,4459,
2016,e1873136,04/01/2016,4088,
2016,e1902117,05/01/2016,4593,
2016,e1917069,06/01/2016,4711,
2016,e1938343,07/01/2016,4283,
2016,e1967302,08/01/2016,4643,
2016,e1992390,09/01/2016,4237,
2016,e2034445,10/01/2016,4743,
2016,e2053581,11/01/2016,4500,
2016,e2074244,12/01/2016,4113,
2017,e2097752,01/01/2017,4690,
2017,e2117718,02/01/2017,4632,
2017,e2137595,03/01/2017,4318,
2017,e2159473,04/01/2017,4207,
2017,e2215343,05/01/2017,4643,
2017,e2235941,06/01/2017,4156,
2017,e2261088,07/01/2017,4444,
2017,e2283747,08/01/2017,4160,
2017,e2307013,09/01/2017,4037,
2017,e2338361,10/01/2017,4387,
2017,e2364677,11/01/2017,3938,
2017,e2389521,12/01/2017,4137,
2018,e2414468,01/01/2018,4116,
2018,e2436786,02/01/2018,3873,
2018,e2458727,03/01/2018,3792,
