Year,File Name,File Date,Record Count,Status (Sent or Pending)
2010,e377528,04/01/2010,34974,
2010,e394486,05/01/2010,205197,
2010,e406028,06/01/2010,32581,
2010,e418961,07/01/2010,37606,
2010,e433068,08/01/2010,39896,
2010,e444799,09/01/2010,33835,
2010,e498478,10/01/2010,35404,
2010,e519190,11/01/2010,42247,
2010,e536362,12/01/2010,34869,
2011,e551559,01/01/2011,38815,
2011,e567019,02/01/2011,34328,
2011,e581454,03/01/2011,35997,
2011,e597951,04/01/2011,36007,
2011,e614316,05/01/2011,41099,
2011,e628532,06/01/2011,38930,
2011,e650086,07/01/2011,55051,
2011,e695177,08/01/2011,58684,
2011,e729739,09/01/2011,47230,
2011,e777089,10/01/2011,59458,
2011,e801429,11/01/2011,45657,
2011,e816955,12/01/2011,54461,
2012,e834115,01/01/2012,51235,
2012,e849023,02/01/2012,46794,
2012,e862800,03/01/2012,52576,
2012,e879498,04/01/2012,56454,
2012,e894507,05/01/2012,50276,
2012,e908688,06/01/2012,46294,
2012,e924804,07/01/2012,55842,
2012,e943608,08/01/2012,55667,
2012,e958021,09/01/2012,50062,
2012,e976089,10/01/2012,61384,
2012,e994319,11/01/2012,50450,
2012,e1012271,12/01/2012,56208,
2013,e1028829,01/01/2013,42310,
2013,e1044707,02/01/2013,39889,
2013,e1059549,03/01/2013,40752,
2013,e1084126,04/01/2013,37527,
2013,e1100800,05/01/2013,39185,
2013,e1116380,06/01/2013,29401,
2013,e1143217,07/01/2013,44108,
2013,e1158961,08/01/2013,38591,
2013,e1180064,09/01/2013,31369,
2013,e1199354,10/01/2013,19955,
2013,e1221036,11/01/2013,29060,
2013,e1238875,12/01/2013,19684,
2014,e1256705,01/01/2014,15368,
2014,e1277126,02/01/2014,17742,
2014,e1299139,03/01/2014,24557,
2014,e1313356,04/01/2014,22825,
2014,e1332190,05/01/2014,10089,
2014,e1353035,06/01/2014,5313,
2014,e1371518,07/01/2014,5816,
2014,e1390479,08/01/2014,7044,
2014,e1410198,09/01/2014,26020,
2014,e1429323,10/01/2014,3653,
2014,e1447499,11/01/2014,2951,
2014,e1466947,12/01/2014,4496,
2015,e1484493,01/01/2015,3534,
2015,e1503976,02/01/2015,3500,
2015,e1523981,03/01/2015,4502,
2015,e1543020,04/01/2015,4042,
2015,e1562458,05/01/2015,4356,
2015,e1582593,06/01/2015,5143,
2015,e1662248,07/01/2015,3889,
2015,e1697777,08/01/2015,5029,
2015,e1715818,09/01/2015,4517,
2015,e1737310,10/01/2015,4503,
2015,e1760628,11/01/2015,4022,
2015,e1778973,12/01/2015,4300,
2016,e1798488,01/01/2016,4084,
2016,e1823113,02/01/2016,4130,
2016,e1845122,03/01/2016,3066,
2016,e1873210,04/01/2016,3885,
2016,e1902119,05/01/2016,4674,
2016,e1917074,06/01/2016,3987,
2016,e1938349,07/01/2016,3119,
2016,e1967379,08/01/2016,4887,
2016,e1992466,09/01/2016,4156,
2016,e2031949,10/01/2016,5617,
2016,e2053657,11/01/2016,4470,
2016,e2074312,12/01/2016,4770,
2017,e2097755,01/01/2017,3495,
2017,e2117748,02/01/2017,2324,
2017,e2137626,03/01/2017,2221,
2017,e2159478,04/01/2017,2135,
2017,e2215347,05/01/2017,2564,
2017,e2235946,06/01/2017,1611,
2017,e2261093,07/01/2017,2184,
2017,e2283759,08/01/2017,2493,
2017,e2307020,09/01/2017,2082,
2017,e2338409,10/01/2017,1364,
2017,e2364684,11/01/2017,325,
2017,e2389549,12/01/2017,391,
2018,e2414547,01/01/2018,364,
2018,e2436881,02/01/2018,292,
2018,e2458856,03/01/2018,329,
2018,e2487843,04/01/2018,358,
2018,e2510630,05/01/2018,296,
2018,e2535080,06/01/2018,279,
2018,e2569278,07/01/2018,375,
2018,e2604413,08/01/2018,245,
2018,MED8.NMC.DMA.PA.SEP2018,09/01/2018,300,
2018,MED8.NMC.DMA.PA.OCT2018,10/01/2018,294,
2018,MED8.NMC.DMA.PA.NOV2018,11/01/2018,196,
2018,MED8.NMC.DMA.PA.DEC2018,12/01/2018,297,
2019,MED8.NMC.DMA.PA.JAN2019,01/01/2019,278,
2019,MED8.NMC.DMA.PA.FEB2019,02/01/2019,275,
2019,MED8.NMC.DMA.PA.MAR2019,03/01/2019,397,
2019,MED8.NMC.DMA.PA.APR2019,04/01/2019,405,
2019,MED8.NMC.DMA.PA.MAY2019,05/01/2019,437,
2019,MED8.NMC.DMA.PA.JUN2019,06/01/2019,252,
2019,MED8.NMC.DMA.PA.JUL2019,07/01/2019,343,
2019,MED8.NMC.DMA.PA.AUG2019,08/01/2019,261,
2019,MED8.NMC.DMA.PA.SEP2019,09/01/2019,367,
2019,MED8.NMC.DMA.PA.OCT2019,10/01/2019,339,
2019,MED8.NMC.DMA.PA.NOV2019,11/01/2019,373,
2019,MED8.NMC.DMA.PA.DEC2019,12/01/2019,357,
2020,MED8.NMC.DMA.PA.JAN2020,01/01/2020,296,
2020,MED8.NMC.DMA.PA.FEB2020,02/01/2020,272,
2020,MED8.NMC.DMA.PA.MAR2020,03/01/2020,385,
2020,NMC7.MPA.DMA,04/01/2020,250,
2020,NMC7.MPA.DMA,05/01/2020,205,
2020,NMC7.MPA.DMA,06/01/2020,257,
2020,NMC7.MPA.DMA,07/01/2020,249,
2020,NMC7.MPA.DMA,08/01/2020,315,
2020,NMC7.MPA.DMA,09/01/2020,209,
2020,NMC7.MPA.DMA,10/01/2020,225,
2020,NMC7.MPA.DMA,11/01/2020,244,
2020,NMC7.MPA.DMA,12/01/2020,211,
2021,NMC7.MPA.DMA,01/01/2021,214,
2021,NMC7.MPA.DMA,02/01/2021,246,
2021,NMC7.MPA.DMA,03/01/2021,322,
2021,NMC7.MPA.DMA,04/01/2021,267,
2021,NMC7.MPA.DMA,05/01/2021,179,
2021,NMC7.MPA.DMA,06/01/2021,216,
2021,NMC7.MPA.DMA,07/01/2021,196,
2021,NMC7.MPA.DMA,08/01/2021,241,
2021,NMC7.MPA.DMA,09/01/2021,196,
2021,NMC7.MPA.DMA,10/01/2021,173,
2021,NMC7.MPA.DMA,11/01/2021,207,
2021,NMC7.MPA.DMA,12/01/2021,285,
2022,NMC7.MPA.DMA,01/01/2022,265,
2022,NMC7.MPA.DMA,02/01/2022,222,
2022,NMC7.MPA.DMA,03/01/2022,272,
2022,NMC7.MPA.DMA,04/01/2022,255,
2022,NMC7.MPA.DMA,05/01/2022,219,
2022,NMC7.MPA.DMA,06/01/2022,131,
2022,NMC7.MPA.DMA,07/01/2022,277,
2022,NMC7.MPA.DMA,08/01/2022,4710,
2022,NMC7.MPA.DMA,09/01/2022,310,
2022,NMC7.MPA.DMA,10/01/2022,204,
2022,NMC7.MPA.DMA,11/01/2022,211,
2022,NMC7.MPA.DMA,12/01/2022,294,
2023,NMC7.MPA.DMA,01/01/2023,244,
2023,NMC7.MPA.DMA,02/01/2023,386,
2023,NMC7.MPA.DMA,03/01/2023,320,
2023,NMC7.MPA.DMA,04/01/2023,392,
2023,NMC7.MPA.DMA,05/01/2023,413,
2023,NMC7.MPA.DMA,06/01/2023,262,
2023,NMC7.MPA.DMA,07/01/2023,3554,
2023,NMC7.MPA.DMA,08/01/2023,1415,
2023,NMC7.MPA.DMA,09/01/2023,766,
2023,NMC7.MPA.DMA,10/01/2023,660,
2023,NMC7.MPA.DMA,11/01/2023,511,
2023,NMC7.MPA.DMA,12/01/2023,509,
2024,NMC7.MPA.DMA,01/01/2024,457,
2024,NMC7.MPA.DMA,02/01/2024,475,
2024,NMC7.MPA.DMA,03/01/2024,387,
2024,NMC7.MPA.DMA,04/01/2024,712,
2024,NMC7.MPA.DMA,05/01/2024,565,
2024,NMC7.MPA.DMA,06/01/2024,366,
2024,NMC7.MPA.DMA,07/01/2024,673,
2024,NMC7.MPA.DMA,08/01/2024,407,
2024,NMC7.MPA.DMA,09/01/2024,566,
2024,NMC7.MPA.DMA,10/01/2024,328,
2024,NMC7.MPA.DMA,11/01/2024,357,
2024,NMC7.MPA.DMA,12/01/2024,451,
2025,NMC7.MPA.DMA,01/01/2025,406,
2025,NMC7.MPA.DMA,02/01/2025,357,
2025,NMC7.MPA.DMA,03/01/2025,566,
2025,NMC7.MPA.DMA,04/01/2025,378,
2025,NMC7.MPA.DMA,05/01/2025,414,
2025,NMC7.MPA.DMA,06/01/2025,2041,
2025,NMC7.MPA.DMA,07/01/2025,393,
2025,NMC7.MPA.DMA,08/01/2025,3576,
2025,NMC7.MPA.DMA,09/01/2025,1072,
2025,NMC7.MPA.DMA,10/01/2025,414,
2025,NMC7.MPA.DMA,11/01/2025,471,
2025,NMC7.MPA.DMA,12/01/2025,642,
2026,NMC7.MPA.DMA,01/01/2026,477,
2026,NMC7.MPA.DMA,02/01/2026,396,
2026,NMC7.MPA.DMA,03/01/2026,530,
2026,NMC7.MPA.DMA,04/01/2026,365,
2026,NMC7.MPA.DMA,05/01/2026,451,
2026,NMC7.MPA.DMA,05/01/2026,451,
2026,NMC7.MPA.DMA,06/01/2026,548,
2026,NMC7.MPA.DMA,07/01/2026,401,
2026,NMC7.MPA.DMA,08/01/2026,520,
