Year,File Name,File Date,Record Count,Status (Sent or Pending)
2009,e287388,06/01/2009,62734,
2009,e294789,07/01/2009,62797,
2009,e303119,08/01/2009,62780,
2009,e310118,09/01/2009,62709,
2009,e318303,10/01/2009,62935,
2009,e327693,11/01/2009,62943,
2009,e336442,12/01/2009,62927,
2010,e344529,01/01/2010,62755,
2010,e352827,02/01/2010,62128,
2010,e364810,03/01/2010,62476,
2010,e377525,04/01/2010,59702,
2010,e394483,05/01/2010,60065,
2010,e406025,06/01/2010,64075,
2010,e418958,07/01/2010,64809,
2010,e433065,08/01/2010,66014,
2010,e444796,09/01/2010,69061,
2010,e498474,10/01/2010,70516,
2010,e519187,11/01/2010,71903,
2010,e537498,12/01/2010,72751,
2011,e551556,01/01/2011,73194,
2011,e567016,02/01/2011,72511,
2011,e581451,03/01/2011,72433,
2011,e597947,04/01/2011,72061,
2011,e614313,05/01/2011,71804,
2011,e628529,06/01/2011,72075,
2011,e650083,07/01/2011,69225,
2011,e695167,08/01/2011,68272,
2011,e729734,09/01/2011,68317,
2011,e777086,10/01/2011,69091,
2011,e801424,11/01/2011,68971,
2011,e816952,12/01/2011,69466,
2012,e834111,01/01/2012,110138,
2012,e849028,02/01/2012,110367,
2012,e862797,03/01/2012,111696,
2012,e879495,04/01/2012,113339,
2012,e894505,05/01/2012,114850,
2012,e908685,06/01/2012,118140,
2012,e924801,07/01/2012,119835,
2012,e943605,08/01/2012,122189,
2012,e958018,09/01/2012,125925,
2012,e976086,10/01/2012,128917,
2012,e994316,11/01/2012,129725,
2012,e1012268,12/01/2012,133173,
2013,e1028826,01/01/2013,135561,
2013,e1044704,02/01/2013,137097,
2013,e1059546,03/01/2013,138838,
2013,e1084123,04/01/2013,143894,
2013,e1100797,05/01/2013,146517,
2013,e1116377,06/01/2013,149201,
2013,e1143210,07/01/2013,151814,
2013,e1158958,08/01/2013,152698,
2013,e1180061,09/01/2013,157966,
2013,e1199351,10/01/2013,159836,
2013,e1221032,11/01/2013,161108,
2013,e1238960,12/01/2013,163787,
2014,e1256689,01/01/2014,164421,
2014,e1277122,02/01/2014,164516,
2014,e1299101,03/01/2014,166587,
2014,e1313353,04/01/2014,167931,
2014,e1332188,05/01/2014,167417,
2014,e1353033,06/01/2014,169313,
2014,e1371508,07/01/2014,171694,
2014,e1390477,08/01/2014,171355,
2014,e1410189,09/01/2014,172874,
2014,e1429272,10/01/2014,173861,
2014,e1447481,11/01/2014,173345,
2014,e1466908,12/01/2014,177199,
2015,e1484485,01/01/2015,175337,
2015,e1503939,02/01/2015,176742,
2015,e1523979,03/01/2015,179427,
2015,e1543016,04/01/2015,180311,
2015,e1562456,05/01/2015,181365,
2015,e1582561,06/01/2015,183372,
2015,e1662136,07/01/2015,186578,
2015,e1697775,08/01/2015,190427,
2015,e1715780,09/01/2015,192843,
2015,e1737311,10/01/2015,194252,
2015,e1760612,11/01/2015,196307,
2015,e1778943,12/01/2015,196701,
2016,e1798485,01/01/2016,196765,
2016,e1823081,02/01/2016,196859,
2016,e1845090,03/01/2016,199496,
2016,e1873138,04/01/2016,201831,
2016,e1902115,05/01/2016,204980,
2016,e1917072,06/01/2016,207599,
2016,e1938347,07/01/2016,210363,
2016,e1967308,08/01/2016,213953,
2016,e1992465,09/01/2016,241184,
2016,e2031983,10/01/2016,256901,
2016,e2053656,11/01/2016,272041,
2016,e2074310,12/01/2016,295445,
2017,e2097756,01/01/2017,302186,
2017,e2117747,02/01/2017,307620,
2017,e2137628,03/01/2017,312005,
2017,e2159476,04/01/2017,314956,
2017,e2215349,05/01/2017,317904,
2017,e2235943,06/01/2017,316193,
2017,e2261091,07/01/2017,318679,
2017,e2283750,08/01/2017,315929,
2017,e2307017,09/01/2017,313986,
2017,e2338406,10/01/2017,317387,
2017,e2364682,11/01/2017,325424,
2017,e2389547,12/01/2017,327546,
2018,e2414546,01/01/2018,328496,
2018,e2436878,02/01/2018,332075,
2018,e2458857,03/01/2018,331459,
2018,e2487842,04/01/2018,331921,
2018,e2510559,05/01/2018,333422,
2018,e2535079,06/01/2018,338661,
2018,e2569277,07/01/2018,341755,
2018,e2604412,08/01/2018,343726,
2018,MED8.NMC.DMA.PROV.SEP2018,09/01/2018,396904,
2018,MED8.NMC.DMA.PROV.OCT2018,10/01/2018,400029,
2018,MED8.NMC.DMA.PROV.NOV2018,11/01/2018,400508,
2018,MED8.NMC.DMA.PROV.DEC2018,12/01/2018,392398,
2019,MED8.NMC.DMA.PROV.JAN2019,01/01/2019,404658,
2019,MED8.NMC.DMA.PROV.FEB2019,02/01/2019,404809,
2019,MED8.NMC.DMA.PROV.MAR2019,03/01/2019,407007,
2019,MED8.NMC.DMA.PROV.APR2019,04/01/2019,406612,
2019,MED8.NMC.DMA.PROV.MAY2019,05/01/2019,407743,
2019,MED8.NMC.DMA.PROV.JUN2019,06/01/2019,410738,
2019,MED8.NMC.DMA.PROV.JUL2019,07/01/2019,410363,
2019,MED8.NMC.DMA.PROV.AUG2019,08/01/2019,408170,
2019,MED8.NMC.DMA.PROV.SEP2019,09/01/2019,409256,
