Year,File Name,File Date,Record Count,Status (Sent or Pending)
2005,e38624,04/01/2005,389246,
2005,e41383,05/01/2005,390431,
2005,e43358,06/01/2005,386523,
2005,e45962,07/01/2005,409943,
2005,e49218,08/01/2005,410595,
2005,e51549,09/01/2005,408061,
2005,e54559,10/01/2005,410903,
2005,e57788,11/01/2005,407714,
2005,e59761,12/01/2005,383922,
2006,e63063,01/01/2006,384065,
2006,e66144,02/01/2006,380038,
2006,e69383,03/01/2006,377688,
2006,e72870,04/01/2006,527020,
2006,e76818,05/01/2006,528540,
2006,e79550,06/01/2006,527177,
2006,e83828,07/01/2006,530082,
2006,e87276,08/01/2006,531643,
2006,e90210,09/01/2006,501870,
2006,e94710,10/01/2006,506254,
2006,e97958,11/01/2006,504551,
2006,e101148,12/01/2006,503624,
2007,e105823,01/01/2007,507869,
2007,e111269,02/01/2007,506376,
2007,e114842,03/01/2007,504308,
2007,e120645,04/01/2007,507680,
2007,e126639,05/01/2007,504648,
2007,e130633,06/01/2007,503832,
2007,e135792,07/01/2007,506427,
2007,e139640,08/01/2007,505999,
2007,e143728,09/01/2007,503456,
2007,e151828,10/01/2007,505361,
2007,e156542,11/01/2007,505239,
2007,e161735,12/01/2007,501775,
2008,e166904,01/01/2008,506395,
2008,e172763,02/01/2008,503967,
2008,e178626,03/01/2008,505374,
2008,e185259,04/01/2008,505012,
2008,e191208,05/01/2008,501311,
2008,e198598,06/01/2008,501463,
2008,e206701,07/01/2008,499441,
2008,e214608,08/01/2008,501019,
2008,e222350,09/01/2008,498466,
2008,e229384,10/01/2008,500872,
2008,e236437,11/01/2008,501040,
2008,e243138,12/01/2008,500318,
2009,e249311,01/01/2009,518340,
2009,e256291,02/01/2009,518450,
2009,e264898,03/01/2009,523707,
2009,e272336,04/01/2009,530379,
2009,e279843,05/01/2009,532904,
2009,e287387,06/01/2009,536503,
2009,e294791,07/01/2009,540147,
2009,e303121,08/01/2009,545592,
2009,e310120,09/01/2009,532015,
2009,e318305,10/01/2009,539858,
2009,e327695,11/01/2009,547307,
2009,e336444,12/01/2009,540651,
2010,e344531,01/01/2010,542609,
2010,e352825,02/01/2010,542274,
2010,e364809,03/01/2010,546195,
