Year,File Name,File Date,Record Count,Status (Sent or Pending)
2020,NE_SHRCOST_20200401.TXT,03/01/2020,290409,
2020,NE_SHRCOST_20200427.TXT,04/01/2020,290904,
2020,NE_SHRCOST_20200526.TXT,05/01/2020,291060,
2020,NE_SHRCOST_20200629.TXT,06/01/2020,291256,
2020,NE_SHRCOST_20200728.TXT,07/01/2020,291418,
2020,NE_SHRCOST_20200831.TXT,08/01/2020,291704,
2020,NE_SHRCOST_20200928.TXT,09/01/2020,291906,
2020,NE_SHRCOST_20201027.TXT,10/01/2020,292175,
2020,NE_SHRCOST_20201130.TXT,11/01/2020,292438,
2020,NE_SHRCOST_20201228.TXT,12/01/2020,292654,
2021,NE_SHRCOST_20210126.TXT,01/01/2021,292968,
2021,NE_SHRCOST_20210223.TXT,02/01/2021,293291,
2021,NE_SHRCOST_20210329.TXT,03/01/2021,293589,
2021,NE_SHRCOST_20210426.TXT,04/01/2021,293861,
2021,NE_SHRCOST_20210525.TXT,05/01/2021,294089,
2021,NE_SHRCOST_20210628.TXT,06/01/2021,294338,
2021,NE_SHRCOST_20210727.TXT,07/01/2021,294552,
2021,NE_SHRCOST_20210830.TXT,08/01/2021,294877,
2021,NE_SHRCOST_20210927.TXT,09/01/2021,295063,
2021,NE_SHRCOST_20211026.TXT,10/01/2021,295299,
2021,NE_SHRCOST_20211129.TXT,11/01/2021,295646,
2021,NE_SHRCOST_20211227.TXT,12/01/2021,295830,
2022,NE_SHRCOST_20220131.TXT,01/01/2022,296209,
2022,NE_SHRCOST_20220228.TXT,02/01/2022,296436,
2022,NE_SHRCOST_20220328.TXT,03/01/2022,296603,
2022,NE_SHRCOST_20220425.TXT,04/01/2022,296811,
2022,NE_SHRCOST_20220531.TXT,05/01/2022,297137,
2022,NE_SHRCOST_20220627.TXT,06/01/2022,297307,
2022,NE_SHRCOST_20220726.TXT,07/01/2022,297515,
2022,NE_SHRCOST_20220829.TXT,08/01/2022,297753,
2022,NE_SHRCOST_20220927.TXT,09/01/2022,298017,
2022,NE_SHRCOST_20221031.TXT,10/01/2022,298361,
2022,NE_SHRCOST_20221128.TXT,11/01/2022,298533,
2022,NE_SHRCOST_20221227.TXT,12/01/2022,298807,
2023,NE_SHRCOST_20230130.TXT,01/01/2023,299173,
2023,NE_SHRCOST_20230227.TXT,02/01/2023,299429,
2023,NE_SHRCOST_20230328.TXT,03/01/2023,299644,
2023,NE_SHRCOST_20230424.TXT,04/01/2023,299940,
2023,NE_SHRCOST_20230530.TXT,05/01/2023,300329,
2023,NE_SHRCOST_20230627.TXT,06/01/2023,300476,
2023,NE_SHRCOST_20230731.TXT,07/01/2023,300830,
2023,NE_SHRCOST_20230828.TXT,08/01/2023,300998,
2023,NE_SHRCOST_20230926.TXT,09/01/2023,301289,
2023,NE_SHRCOST_20231030.TXT,10/01/2023,301717,
2023,NE_SHRCOST_20231127.TXT,11/01/2023,301908,
2023,NE_SHRCOST_20231226.TXT,12/01/2023,302223,
2024,NE_SHRCOST_20240129.TXT,01/01/2024,302555,
2024,NE_SHRCOST_20240226.TXT,02/01/2024,302836,
2024,NE_SHRCOST_20240326.TXT,03/01/2024,303286,
2024,NE_SHRCOST_20240429.TXT,04/01/2024,303838,
2024,NE_SHRCOST_20240528.TXT,05/01/2024,304033,
2024,NE_SHRCOST_20240625.TXT,06/01/2024,304355,
2024,NE_SHRCOST_20240729.TXT,07/01/2024,304735,
2024,NE_SHRCOST_20240827.TXT,08/01/2024,305223,
2024,NE_SHRCOST_20240930.TXT,09/01/2024,305755,
2024,NE_SHRCOST_20241028.TXT,10/01/2024,306015,
2024,NE_SHRCOST_20241125.TXT,11/01/2024,306458,
2024,NE_SHRCOST_20241230.TXT,12/01/2024,306998,
2025,NE_SHRCOST_20250128.TXT,01/01/2025,307255,
2025,NE_SHRCOST_20250225.TXT,02/01/2025,307609,
2025,NE_SHRCOST_20250331.TXT,03/01/2025,308116,
2025,NE_SHRCOST_20250428.TXT,04/01/2025,308353,
2025,NE_SHRCOST_20250527.TXT,05/01/2025,308649,
2025,NE_SHRCOST_20250630.TXT,06/01/2025,309090,
2025,NE_SHRCOST_20250728.TXT,07/01/2025,309321,
2025,NE_SHRCOST_20250826.TXT,08/01/2025,309624,
2025,NE_SHRCOST_20250929.TXT,09/01/2025,309998,
2025,NE_SHRCOST_20251028.TXT,10/01/2025,310234,
2025,NE_SHRCOST_20251124.TXT,11/01/2025,310542,
2025,NE_SHRCOST_20251229.TXT,12/01/2025,310831,
2026,NE_SHRCOST_20260127.TXT,01/01/2026,311126,
2026,NE_SHRCOST_20260224.TXT,02/01/2026,311416,
2026,NE_SHRCOST_20260330.TXT,03/01/2026,311876,
2026,NE_SHRCOST_20260427.TXT,04/01/2026,312070,
2026,NE_SHRCOST_20260526.TXT,05/01/2026,312386,
2026,NE_SHRCOST_20260629.TXT,06/01/2026,312790,
2026,NE_SHRCOST_20260728.TXT,07/01/2026,312937,
2026,NE_SHRCOST_20260831.TXT,08/01/2026,313354,
