Year,File Name,File Date,Record Count,Status (Sent or Pending)
2009,e276225,03/01/2009,4519,
2009,e296305,06/01/2009,4095,
2009,e320703,09/01/2009,4036,
2009,e346122,12/01/2009,4073,
2010,e380871,03/01/2010,2829,
2010,e421600,06/01/2010,1886,
2010,e501267,09/01/2010,1181,
2010,e860955,12/01/2010,4834,
2011,e861494,03/01/2011,5026,
2011,e861777,06/01/2011,4797,
2011,e861829,09/01/2011,4688,
2011,e862424,12/01/2011,4834,
2012,e884192,03/01/2012,5260,
2012,e930695,06/01/2012,5107,
2012,e1004709,09/01/2012,4932,
2012,e1033795,12/01/2012,4869,
2013,e1087871,03/01/2013,5396,
2013,e1145103,06/01/2013,4954,
2013,e1204021,09/01/2013,4984,
2013,e1260462,12/01/2013,4718,
2014,e1319655,03/01/2014,5163,
2014,e1426254,06/01/2014,4843,
2014,e1432877,09/01/2014,4584,
2014,e1488809,12/01/2014,4471,
2015,e1548167,03/01/2015,4712,
2015,e1676859,06/01/2015,4743,
2015,e1742472,09/01/2015,4529,
2015,e1803176,12/01/2015,4362,
2016,e1877677,03/01/2016,4387,
2016,e1942731,06/01/2016,4331,
2016,e2038866,09/01/2016,4383,
2016,e2103036,12/01/2016,4342,
2017,e2163263,03/01/2017,4349,
2017,e2216436,05/01/2017,6276,
2017,e2235945,06/01/2017,6325,
2017,e2261087,07/01/2017,6345,
2017,e2283758,08/01/2017,6360,
2017,e2307019,09/01/2017,6370,
2017,e2338408,10/01/2017,6387,
2017,e2364683,11/01/2017,6394,
2017,e2389548,12/01/2017,6027,
2018,e2414548,01/01/2018,5923,
2018,e2436879,02/01/2018,5834,
2018,e2458864,03/01/2018,5898,
2018,e2487845,04/01/2018,6309,
2018,e2510561,05/01/2018,6507,
2018,e2535082,06/01/2018,6652,
2018,e2569330,07/01/2018,6826,
2018,e2604415,08/01/2018,6967,
2018,MED8.NMC.DMA.SLMBY.SEP2018,09/01/2018,7039,
2018,MED8.NMC.DMA.SLMBY.OCT2018,10/01/2018,7102,
2018,MED8.NMC.DMA.SLMBY.NOV2018,11/01/2018,7038,
2018,MED8.NMC.DMA.SLMBY.DEC2018,12/01/2018,6794,
2019,MED8.NMC.DMA.SLMBY.JAN2019,01/01/2019,6646,
2019,MED8.NMC.DMA.SLMBY.FEB2019,02/01/2019,6534,
2019,MED8.NMC.DMA.SLMBY.MAR2019,03/01/2019,6605,
2019,MED8.NMC.DMA.SLMBY.APR2019,04/01/2019,6693,
2019,MED8.NMC.DMA.SLMBY.MAY2019,05/01/2019,6733,
2019,MED8.NMC.DMA.SLMBY.JUN2019,06/01/2019,6782,
2019,MED8.NMC.DMA.SLMBY.JUL2019,07/01/2019,6947,
2019,MED8.NMC.DMA.SLMBY.AUG2019,08/01/2019,7098,
2019,MED8.NMC.DMA.SLMBY.SEP2019,09/01/2019,7226,
2019,MED8.NMC.DMA.SLMBY.OCT2019,10/01/2019,7287,
2019,MED8.NMC.DMA.SLMBY.NOV2019,11/01/2019,7182,
2019,MED8.NMC.DMA.SLMBY.DEC2019,12/01/2019,7225,
2020,MED8.NMC.DMA.SLMBY.JAN2020,01/01/2020,7164,
2020,MED8.NMC.DMA.SLMBY.FEB2020,02/01/2020,7145,
2020,MED8.NMC.DMA.SLMBY.MAR2020,03/01/2020,7363,
