Year,File Name,File Date,Record Count,Status (Sent or Pending)
2010,e377526,04/01/2010,30080,
2010,e394484,05/01/2010,30191,
2010,e406026,06/01/2010,30117,
2010,e418959,07/01/2010,30002,
2010,e433066,08/01/2010,29941,
2010,e444797,09/01/2010,29823,
2010,e498475,10/01/2010,29663,
2010,e519188,11/01/2010,30765,
2010,e536358,12/01/2010,30978,
2011,e551557,01/01/2011,30754,
2011,e567017,02/01/2011,30717,
2011,e581452,03/01/2011,30804,
2011,e597949,04/01/2011,30744,
2011,e614314,05/01/2011,30234,
2011,e628530,06/01/2011,29722,
2011,e650084,07/01/2011,29165,
2011,e695169,08/01/2011,29329,
2011,e729735,09/01/2011,29312,
2011,e777087,10/01/2011,29154,
2011,e801425,11/01/2011,28424,
2011,e816953,12/01/2011,28412,
2012,e834112,01/01/2012,28654,
2012,e849020,02/01/2012,28830,
2012,e862798,03/01/2012,28246,
2012,e879497,04/01/2012,27588,
2012,e894508,05/01/2012,27821,
2012,e908686,06/01/2012,28038,
2012,e924802,07/01/2012,28019,
2012,e943606,08/01/2012,28162,
2012,e958019,09/01/2012,27599,
2012,e976087,10/01/2012,27911,
2012,e994317,11/01/2012,27742,
2012,e1012269,12/01/2012,28548,
2013,e1028828,01/01/2013,28877,
2013,e1044705,02/01/2013,29243,
2013,e1059547,03/01/2013,29810,
2013,e1084124,04/01/2013,30051,
2013,e1100798,05/01/2013,30313,
2013,e1116378,06/01/2013,30598,
2013,e1143212,07/01/2013,31298,
2013,e1158959,08/01/2013,30734,
2013,e1180062,09/01/2013,30672,
2013,e1199352,10/01/2013,30154,
2013,e1221034,11/01/2013,30099,
2013,e1238962,12/01/2013,29900,
2014,e1256691,01/01/2014,29679,
2014,e1277124,02/01/2014,29556,
2014,e1299102,03/01/2014,30081,
2014,e1313354,04/01/2014,30091,
2014,e1332189,05/01/2014,30154,
2014,e1353034,06/01/2014,30558,
2014,e1371509,07/01/2014,30600,
2014,e1390478,08/01/2014,31134,
2014,e1410190,09/01/2014,31284,
2014,e1429273,10/01/2014,31280,
2014,e1447482,11/01/2014,31333,
2014,e1466909,12/01/2014,31366,
2015,e1484486,01/01/2015,31268,
2015,e1503941,02/01/2015,31100,
2015,e1523980,03/01/2015,31497,
2015,e1543017,04/01/2015,31164,
2015,e1562457,05/01/2015,31237,
2015,e1582562,06/01/2015,31612,
2015,e1662137,07/01/2015,31513,
2015,e1697776,08/01/2015,31840,
2015,e1715781,09/01/2015,31931,
2015,e1737279,10/01/2015,31955,
2015,e1760613,11/01/2015,31921,
2015,e1778944,12/01/2015,31851,
2016,e1798486,01/01/2016,31580,
2016,e1823082,02/01/2016,31557,
2016,e1845091,03/01/2016,31700,
2016,e1873139,04/01/2016,31561,
2016,e1896252,05/01/2016,31489,
2016,e1917071,06/01/2016,31300,
2016,e1938345,07/01/2016,31135,
2016,e1967378,08/01/2016,30897,
2016,e1992457,09/01/2016,30699,
2016,e2031913,10/01/2016,30612,
2016,e2053618,11/01/2016,29075,
2016,e2074246,12/01/2016,27689,
2017,e2097753,01/01/2017,26874,
2017,e2117746,02/01/2017,26631,
2017,e2137627,03/01/2017,26338,
2017,e2159474,04/01/2017,26617,
2017,e2215346,05/01/2017,26470,
2017,e2238830,06/01/2017,239768,
2017,e2261090,07/01/2017,238668,
2017,e2283757,08/01/2017,239036,
2017,e2307016,09/01/2017,238247,
2017,e2338405,10/01/2017,237774,
2017,e2364680,11/01/2017,236952,
2017,e2389546,12/01/2017,236484,
2018,e2414545,01/01/2018,233748,
2018,e2436876,02/01/2018,233194,
2018,e2458801,03/01/2018,232546,
2018,e2487841,04/01/2018,230670,
2018,e2510629,05/01/2018,229192,
2018,e2535057,06/01/2018,228123,
2018,e2569276,07/01/2018,227740,
2018,e2604411,08/01/2018,227179,
2018,MED8.NMC.DMA.TPLHIST.SEP2018,09/01/2018,226655,
2018,MED8.NMC.DMA.TPLHIST.OCT2018,10/01/2018,225902,
2018,MED8.NMC.DMA.TPLHIST.NOV2018,11/01/2018,224791,
2018,MED8.NMC.DMA.TPLHIST.DEC2018,12/01/2018,225242,
2019,MED8.NMC.DMA.TPLHIST.JAN2019,01/01/2019,220084,
2019,MED8.NMC.DMA.TPLHIST.FEB2019,02/01/2019,221995,
2019,MED8.NMC.DMA.TPLHIST.MAR2019,03/01/2019,221078,
2019,MED8.NMC.DMA.TPLHIST.APR2019,04/01/2019,218016,
2019,MED8.NMC.DMA.TPLHIST.MAY2019,05/01/2019,217388,
2019,MED8.NMC.DMA.TPLHIST.JUN2019,06/01/2019,217046,
2019,MED8.NMC.DMA.TPLHIST.JUL2019,07/01/2019,216227,
2019,MED8.NMC.DMA.TPLHIST.AUG2019,08/01/2019,215426,
2019,MED8.NMC.DMA.TPLHIST.SEP2019,09/01/2019,214490,
2019,MED8.NMC.DMA.TPLHIST.OCT2019,10/01/2019,214306,
2019,MED8.NMC.DMA.TPLHIST.NOV2019,11/01/2019,213635,
2019,MED8.NMC.DMA.TPLHIST.DEC2019,12/01/2019,213931,
2020,MED8.NMC.DMA.TPLHIST.JAN2020,01/01/2020,209740,
2020,MED8.NMC.DMA.TPLHST.FEB2020,02/01/2020,208928,
2020,MED8.NMC.DMA.TPLHST.MAR2020,03/01/2020,208683,
2020,NMC7.MTPL.DMA,04/01/2020,205138,
2020,NMC7.MTPL.DMA,05/01/2020,203204,
2020,NMC7.MTPL.DMA,06/01/2020,202567,
2020,NMC7.MTPL.DMA,07/01/2020,201442,
2020,NMC7.MTPL.DMA,08/01/2020,199637,
2020,NMC7.MTPL.DMA,09/01/2020,197063,
