Year,File Name,File Date,Record Count,Status (Sent or Pending)
2005,e62533,2005-12-01,14986,
2005,e62533,2005-12-01,26925,
2005,e62533,2005-12-01,4265,
2006,e65073,2006-01-01,27409,
2006,e65073,2006-01-01,37297,
2006,e65073,2006-01-01,6774,
2006,e68231,2006-02-01,33417,
2006,e68231,2006-02-01,23448,
2006,e68231,2006-02-01,4096,
2006,e71909,2006-03-01,30304,
2006,e71909,2006-03-01,4080,
2006,e71909,2006-03-01,23142,
2006,e75612,2006-04-01,28943,
2006,e75612,2006-04-01,3773,
2006,e75612,2006-04-01,22074,
2006,e78492,2006-05-01,5154,
2006,e78492,2006-05-01,26120,
2006,e78492,2006-05-01,37302,
2006,e81693,2006-06-01,22504,
2006,e81693,2006-06-01,29398,
2006,e81693,2006-06-01,4026,
2006,e86550,2006-07-01,26440,
2006,e86550,2006-07-01,35011,
2006,e86550,2006-07-01,4921,
2006,e89045,2006-08-01,20592,
2006,e89045,2006-08-01,28641,
2006,e89045,2006-08-01,4360,
2006,e93409,2006-09-01,20970,
2006,e93409,2006-09-01,28982,
2006,e93409,2006-09-01,4354,
2006,e96548,2006-10-01,37020,
2006,e96548,2006-10-01,25805,
2006,e96548,2006-10-01,5459,
2006,e100310,2006-11-01,27131,
2006,e100310,2006-11-01,19635,
2006,e100310,2006-11-01,5608,
2006,e103872,2006-12-01,20539,
2006,e103872,2006-12-01,5635,
2006,e103872,2006-12-01,31726,
2007,e109755,2007-01-01,30699,
2007,e109755,2007-01-01,40479,
2007,e109755,2007-01-01,5202,
2007,e113554,2007-02-01,34448,
2007,e113554,2007-02-01,24146,
2007,e113554,2007-02-01,4342,
2007,e118021,2007-03-01,29894,
2007,e118021,2007-03-01,4440,
2007,e118021,2007-03-01,21884,
2007,e124667,2007-04-01,40366,
2007,e124667,2007-04-01,6087,
2007,e124667,2007-04-01,24698,
2007,e128884,2007-05-01,21883,
2007,e128884,2007-05-01,28795,
2007,e128884,2007-05-01,4865,
2007,e133494,2007-06-01,4975,
2007,e133494,2007-06-01,29970,
2007,e133494,2007-06-01,19028,
2007,e138082,2007-07-01,22846,
2007,e138082,2007-07-01,29580,
2007,e138082,2007-07-01,2534,
2007,e143726,2007-08-01,30868,
2007,e143726,2007-08-01,6390,
2007,e143726,2007-08-01,38250,
2007,e148773,2007-09-01,7082,
2007,e148773,2007-09-01,32674,
2007,e148773,2007-09-01,21492,
2007,e155192,2007-10-01,6853,
2007,e155192,2007-10-01,28598,
2007,e155192,2007-10-01,42089,
2007,e160076,2007-11-01,6965,
2007,e160076,2007-11-01,32619,
2007,e160076,2007-11-01,22561,
2007,e164422,2007-12-01,19597,
