Year,File Name,File Date,Record Count,Status (Sent or Pending)
2006,e63254,2006-01-01,1414102,
2006,e66240,2006-02-01,1145876,
2006,e69491,2006-03-01,1110651,
2006,e72975,2006-04-01,1129855,
2006,e76949,2006-05-01,1522784,
2006,e79633,2006-06-01,1024100,
2006,e84133,2006-07-01,1425079,
2006,e87399,2006-08-01,1211088,
2006,e90321,2006-09-01,1108331,
2006,e94893,2006-10-01,1471370,
2006,e98110,2006-11-01,1087025,
2006,e101296,2006-12-01,1267085,
2007,e106011,2007-01-01,1432942,
2007,e111400,2007-02-01,1205663,
2007,e114993,2007-03-01,1117907,
2007,e121923,2007-04-01,1595914,
2007,e126887,2007-05-01,1227793,
2007,e130733,2007-06-01,1062530,
2007,e135961,2007-07-01,1438191,
2007,e139872,2007-08-01,1036521,
2007,e144849,2007-09-01,1173224,
2007,e153208,2007-10-01,1584242,
2007,e156855,2007-11-01,1102331,
2007,e161847,2007-12-01,1502204,
2008,e167121,2008-01-01,1118452,
2008,e172948,2008-02-01,1132293,
2008,e178840,2008-03-01,1637992,
2008,e185527,2008-04-01,1181405,
2008,e191506,2008-05-01,1213704,
2008,e198879,2008-06-01,1401970,
2008,e207359,2008-07-01,1154460,
2008,e214880,2008-08-01,1134587,
2008,e222619,2008-09-01,1531837,
2008,e229653,2008-10-01,1111399,
2008,e236871,2008-11-01,1272431,
2008,e243388,2008-12-01,1347126,
2009,e249552,2009-01-01,1081378,
2009,e256562,2009-02-01,1258077,
2009,e265178,2009-03-01,1703527,
2009,e272609,2009-04-01,1280874,
2009,e280234,2009-05-01,1267894,
2009,e287653,2009-06-01,1502659,
2009,e295087,2009-07-01,1085279,
2009,e303448,2009-08-01,1683926,
2009,e310437,2009-09-01,1292298,
2009,e319276,2009-10-01,1317410,
2009,e328071,2009-11-01,1895601,
2009,e337116,2009-12-01,1228186,
2010,e345292,2010-01-01,1250983,
2010,e353703,2010-02-01,1446541,
2010,e365085,2010-03-01,1896424,
2010,e378179,2010-04-01,1312626,
2010,e393198,2010-05-01,1418462,
2010,e406463,2010-06-01,1720427,
2010,e419937,2010-07-01,1233007,
2010,e433525,2010-08-01,1770944,
2010,e445396,2010-09-01,1207807,
2010,e499515,2010-10-01,1324674,
2010,e519808,2010-11-01,1689984,
2010,e536367,2010-12-01,1209098,
2011,e552594,2011-01-01,1644311,
2011,e567853,2011-02-01,1318030,
2011,e581918,2011-03-01,1257501,
2011,e597946,2011-04-01,1363171,
2011,e614953,2011-05-01,1700571,
2011,e628912,2011-06-01,1199873,
2011,e653747,2011-07-01,1354225,
2011,e697204,2011-08-01,1886093,
2011,e732994,2011-09-01,1227306,
2011,e779726,2011-10-01,1709211,
2011,e802017,2011-11-01,1263845,
2011,e817583,2011-12-01,1329605,
2012,e834712,2012-01-01,1603325,
2012,e849768,2012-02-01,1462200,
2012,e863777,2012-03-01,1424788,
2012,e880036,2012-04-01,1825265,
2012,e900367,2012-05-01,1385516,
2012,e909817,2012-06-01,1165274,
2012,e925783,2012-07-01,1753565,
2012,e944616,2012-08-01,1071315,
2012,e958895,2012-09-01,1196015,
2012,e976768,2012-10-01,1596443,
2012,e995490,2012-11-01,951618,
2012,e1012702,2012-12-01,1485129,
2013,e1031231,2013-01-01,927009,
2013,e1045338,2013-02-01,1139072,
2013,e1060437,2013-03-01,1179472,
2013,e1084706,2013-04-01,1509527,
2013,e1101808,2013-05-01,946567,
2013,e1117705,2013-06-01,1066651,
2013,e1143223,2013-07-01,1226604,
2013,e1160695,2013-08-01,1061042,
2013,e1181211,2013-09-01,1578947,
2013,e1200642,2013-10-01,1210745,
2013,e1221037,2013-11-01,1234814,
2013,e1238964,2013-12-01,1369278,
2014,e1258542,2014-01-01,1176550,
2014,e1277154,2014-02-01,1258866,
2014,MED8.NMC.DMA.FFSCLM.MAR14,2014-03-01,1560448,
2014,e1314563,2014-04-01,1236642,
2014,e1333571,2014-05-01,1187457,
2014,e1353929,2014-06-01,1401933,
2014,e1372756,2014-07-01,1164808,
2014,e1391999,2014-08-01,1202234,
2014,e1411332,2014-09-01,1421475,
2014,e1430532,2014-10-01,1240126,
2014,e1448798,2014-11-01,1200719,
2014,e1470029,2014-12-01,1335801,
2015,e1494071,2015-01-01,1156958,
2015,e1505637,2015-02-01,1202154,
2015,e1525134,2015-03-01,1493340,
2015,e1544938,2015-04-01,1192323,
2015,e1563601,2015-05-01,1293998,
2015,e1583529,2015-06-01,1386947,
2015,e1674693,2015-07-01,1150264,
2015,e1699030,2015-08-01,1377163,
2015,e1717051,2015-09-01,1240246,
2015,e1739439,2015-10-01,1173891,
2015,e1777256,2015-11-01,1361764,
2015,e1779768,2015-12-01,1176255,
2016,e1800810,2016-01-01,1117508,
2016,e1824425,2016-02-01,1398841,
2016,e1846573,2016-03-01,1210878,
2016,e1874376,2016-04-01,1211827,
2016,e1898118,2016-05-01,1587695,
2016,e1918158,2016-06-01,2765014,
2016,e1940371,2016-07-01,1909552,
2016,e1968730,2016-08-01,1719161,
2016,e1994436,2016-09-01,1180851,
2016,e2033521,2016-10-01,1670494,
2016,e2054994,2016-11-01,2147523,
2016,e2075469,2016-12-01,1812083,
2017,e2115091,2017-01-01,916049,
2017,e2119003,2017-02-01,601673,
2017,e2139562,2017-03-01,578320,
2017,e2160084,2017-04-01,624968,
2017,e2216964,2017-05-01,633259,
2017,e2237411,2017-06-01,577790,
2017,e2262441,2017-07-01,571009,
2017,e2285193,2017-08-01,449531,
2017,e2309589,2017-09-01,459889,
2017,e2339871,2017-10-01,677404,
2017,e2366907,2017-11-01,606615,
2017,e2390638,2017-12-01,607114,
2018,e2416224,2018-01-01,832994,
2018,e2438462,2018-02-01,1586446,
2018,e2461318,2018-03-01,875246,
2018,e2490544,2018-04-01,617627,
2018,e2512455,2018-05-01,589523,
2018,e2536591,2018-06-01,582876,
2018,e2571036,2018-07-01,597634,
2018,e2607858,2018-08-01,579774,
2018,MED8.NMC.DMA.FFSCLM.SEP2018,2018-09-01,586791,
2018,MED8.NMC.DMA.FFSCLM.OCT2018,2018-10-01,605780,
2018,MED8.NMC.DMA.FFSCLM.NOV2018,2018-11-01,577541,
2018,MED8.NMC.DMA.FFSCLM.DEC2018,2018-12-01,588543,
2019,MED8.NMC.DMA.FFSCLM.JAN2019,2019-01-01,2670634,
2019,MED8.NMC.DMA.FFSCLM.FEB2019,2019-02-01,3343500,
2019,MED8.NMC.DMA.FFSCLM.MAR2019,2019-03-01,928120,
2019,MED8.NMC.DMA.FFSCLM.APR2019,2019-04-01,600622,
2019,MED8.NMC.DMA.FFSCLM.MAY2019,2019-05-01,580579,
2019,MED8.NMC.DMA.FFSCLM.JUN2019,2019-06-01,574658,
2019,MED8.NMC.DMA.FFSCLM.JUL2019,2019-07-01,3502739,
2019,MED8.NMC.DMA.FFSCLM.AUG2019,2019-08-01,543158,
2019,MED8.NMC.DMA.FFSCLM.SEP2019,2019-09-01,547613,
2019,MED8.NMC.DMA.FFSCLM.OCT2019,2019-10-01,2577852,
2019,MED8.NMC.DMA.FFSCLM.NOV2019,2019-11-01,720564,
2019,MED8.NMC.DMA.FFSCLM.DEC2019,2019-12-01,544202,
2020,MED8.NMC.DMA.FFSCLM.JAN2020,2020-01-01,540593,
2020,MED8.NMC.DMA.FFSCLM.FEB2020,2020-02-01,553065,
2020,MED8.NMC.DMA.FFSCLM.MAR2020,2020-03-01,548476,
2020,NMC7.MFFS.DMA,2020-04-01,3422160,
2020,NMC7.MFFS.DMA,2020-05-01,2084990,
2020,NMC7.MFFS.DMA,2020-06-01,564782,
2020,NMC7.MFFS.DMA,2020-07-01,560510,
2020,NMC7.MFFS.DMA,2020-08-01,580273,
2020,NMC7.MFFS.DMA,2020-09-01,574859,
2020,NMC7.MFFS.DMA,2020-10-01,594168,
2020,NMC7.MFFS.DMA,2020-11-01,660983,
2020,NMC7.MFFS.DMA,2020-12-01,608763,
2021,NMC7.MFFS.DMA,2021-01-01,2674310,
2021,NMC7.MFFS.DMA,2021-02-01,3304376,
2021,NMC7.MFFS.DMA,2021-03-01,667977,
2021,NMC7.MFFS.DMA,2021-04-01,666873,
2021,NMC7.MFFS.DMA,2021-05-01,662533,
2021,NMC7.MFFS.DMA,2021-06-01,3151000,
2021,NMC7.MFFS.DMA,2021-07-01,671669,
2021,NMC7.MFFS.DMA,2021-08-01,685415,
2021,NMC7.MFFS.DMA,2021-09-01,1505938,
2021,NMC7.MFFS.DMA,2021-10-01,2830249,
2021,NMC7.MFFS.DMA,2021-11-01,737848,
2021,NMC7.MFFS.DMA,2021-12-01,737907,
2022,NMC7.MFFS.DMA,2022-01-01,756167,
2022,NMC7.MFFS.DMA,2022-02-01,765516,
2022,NMC7.MFFS.DMA,2022-03-01,760289,
2022,NMC7.MFFS.DMA,2022-04-01,2313217,
2022,NMC7.MFFS.DMA,2022-05-01,2596038,
2022,NMC7.MFFS.DMA,2022-06-01,769820,
2022,NMC7.MFFS.DMA,2022-07-01,774832,
2022,NMC7.MFFS.DMA,2022-08-01,785675,
2022,NMC7.MFFS.DMA,2022-09-01,790132,
2022,NMC7.MFFS.DMA,2022-10-01,796706,
2022,NMC7.MFFS.DMA,2022-11-01,1388308,
2022,NMC7.MFFS.DMA,2022-12-01,804000,
2023,NMC7.MFFS.DMA,2023-01-01,4126785,
2023,NMC7.MFFS.DMA,2023-02-01,819963,
2023,NMC7.MFFS.DMA,2023-03-01,823340,
2023,NMC7.MFFS.DMA,2023-04-01,828449,
2023,NMC7.MFFS.DMA,2023-05-01,830796,
2023,NMC7.MFFS.DMA,2023-06-01,823725,
2023,NMC7.MFFS.DMA,2023-07-01,4647743,
2023,NMC7.MFFS.DMA,2023-08-01,5398721,
2023,NMC7.MFFS.DMA,2023-09-01,1693219,
2023,NMC7.MFFS.DMA,2023-10-01,785069,
2023,NMC7.MFFS.DMA,2023-11-01,769860,
2023,NMC7.MFFS.DMA,2023-12-01,779274,
2024,NMC7.MFFS.DMA,2024-01-01,418903,
2024,NMC7.MFFS.DMA,2024-02-01,421734,
2024,NMC7.MFFS.DMA,2024-03-01,734866,
2024,NMC7.MFFS.DMA,2024-04-01,394457,
2024,NMC7.MFFS.DMA,2024-05-01,386004,
2024,NMC7.MFFS.DMA,2024-06-01,1786365,
2024,NMC7.MFFS.DMA,2024-07-01,3648261,
2024,NMC7.MFFS.DMA,2024-08-01,735805,
2024,NMC7.MFFS.DMA,2024-09-01,380355,
2024,NMC7.MFFS.DMA,2024-10-01,375741,
2024,NMC7.MFFS.DMA,2024-11-01,372852,
2024,NMC7.MFFS.DMA,2024-12-01,372047,
2025,NMC7.MFFS.DMA,2025-01-01,370543,
2025,NMC7.MFFS.DMA,2025-02-01,749404,
2025,NMC7.MFFS.DMA,2025-03-01,2037877,
2025,NMC7.MFFS.DMA,2025-04-01,379942,
2025,NMC7.MFFS.DMA,2025-05-01,371942,
2025,NMC7.MFFS.DMA,2025-06-01,368293,
2025,NMC7.MFFS.DMA,2025-07-01,363556,
2025,NMC7.MFFS.DMA,2025-08-01,365572,
2025,NMC7.MFFS.DMA,2025-09-01,367348,
