Year,File Name,File Date,Record Count,Status (Sent or Pending)
2006,e63061,2006-01-01,18982,
2006,e66142,2006-02-01,17787,
2006,e69379,2006-03-01,18402,
2006,e72934,2006-04-01,17564,
2006,e76806,2006-05-01,20475,
2006,e79540,2006-06-01,18419,
2006,e83825,2006-07-01,20813,
2006,e87272,2006-08-01,19203,
2006,e90213,2006-09-01,17831,
2006,e94705,2006-10-01,21712,
2006,e97951,2006-11-01,17556,
2006,e101134,2006-12-01,21236,
2007,e105821,2007-01-01,23986,
2007,e111265,2007-02-01,22919,
2007,e114836,2007-03-01,24438,
2007,e120643,2007-04-01,26121,
2007,e126635,2007-05-01,23595,
2007,e130631,2007-06-01,24849,
2007,e135781,2007-07-01,26585,
2007,e139638,2007-08-01,24128,
2007,e143724,2007-09-01,22146,
2007,e151824,2007-10-01,29230,
2007,e156540,2007-11-01,22442,
2007,e161731,2007-12-01,28032,
2008,e166901,2008-01-01,25094,
2008,e172753,2008-02-01,23971,
2008,e178623,2008-03-01,28667,
2008,e185256,2008-04-01,24445,
2008,e191205,2008-05-01,25008,
2008,e198594,2008-06-01,28252,
2008,e206699,2008-07-01,24972,
2008,e214609,2008-08-01,25576,
2008,e222347,2008-09-01,27902,
2008,e229377,2008-10-01,25170,
2008,e236433,2008-11-01,25835,
2008,e243133,2008-12-01,26093,
2009,e249290,2009-01-01,25317,
2009,e256287,2009-02-01,24591,
2009,e264894,2009-03-01,31732,
2009,e272331,2009-04-01,24268,
2009,e279838,2009-05-01,25464,
2009,e287383,2009-06-01,30494,
2009,e294785,2009-07-01,25324,
2009,e303115,2009-08-01,28406,
2009,e310116,2009-09-01,24796,
2009,e318295,2009-10-01,24695,
2009,e327691,2009-11-01,26943,
2009,e336423,2009-12-01,24990,
2010,e344527,2010-01-01,23017,
2010,e352819,2010-02-01,24028,
2010,e364805,2010-03-01,30970,
2010,e377521,2010-04-01,24619,
2010,e394480,2010-05-01,27714,
2010,e406022,2010-06-01,24534,
2010,e418956,2010-07-01,24252,
2010,e433056,2010-08-01,27578,
2010,e444794,2010-09-01,26045,
2010,e498471,2010-10-01,24687,
2010,e519174,2010-11-01,25845,
2010,e535238,2010-12-01,24413,
2011,e551552,2011-01-01,27106,
2011,e567013,2011-02-01,24261,
2011,e581448,2011-03-01,23148,
2011,e597945,2011-04-01,23048,
2011,e614308,2011-05-01,25193,
2011,e628527,2011-06-01,17903,
2011,e650067,2011-07-01,18251,
2011,e695141,2011-08-01,21497,
2011,e729726,2011-09-01,39960,
2011,e777066,2011-10-01,19915,
2011,e801404,2011-11-01,16020,
2011,e816949,2011-12-01,19237,
2012,e834109,2012-01-01,20423,
2012,e848995,2012-02-01,14081,
2012,e862794,2012-03-01,19773,
2012,e879494,2012-04-01,19451,
2012,e894504,2012-05-01,17169,
2012,e908684,2012-06-01,14718,
2012,e924798,2012-07-01,21447,
2012,e943600,2012-08-01,19074,
2012,e958011,2012-09-01,17437,
2012,e976085,2012-10-01,22559,
2012,e994311,2012-11-01,15537,
2012,e1012266,2012-12-01,20992,
2013,e1028824,2013-01-01,18124,
2013,e1044700,2013-02-01,16363,
2013,e1059543,2013-03-01,19601,
2013,e1084122,2013-04-01,1969,
2013,e1084122,2013-04-01,18224,
2013,e1100793,2013-05-01,18094,
2013,e1116374,2013-06-01,17679,
2013,e1143219,2013-07-01,20794,
2013,e1158916,2013-08-01,17009,
2013,e1180057,2013-09-01,20121,
2013,e1199329,2013-10-01,17032,
2013,e1221038,2013-11-01,19728,
2013,e1238882,2013-12-01,18918,
2014,e1256707,2014-01-01,16713,
2014,e1277127,2014-02-01,16778,
2014,e1298485,2014-03-01,23466,
2014,e1313351,2014-04-01,18204,
2014,e1332185,2014-05-01,14776,
2014,e1353021,2014-06-01,23566,
2014,e1371506,2014-07-01,17879,
2014,e1390472,2014-08-01,17558,
2014,e1410106,2014-09-01,24786,
2014,e1428445,2014-10-01,20321,
2014,e1447479,2014-11-01,22513,
2014,e1466901,2014-12-01,22557,
2015,e1484396,2015-01-01,17360,
2015,e1503942,2015-02-01,20658,
2015,e1523901,2015-03-01,25595,
2015,e1542942,2015-04-01,20264,
2015,e1562454,2015-05-01,19716,
2015,e1582556,2015-06-01,23853,
2015,e1661584,2015-07-01,23332,
2015,e1697773,2015-08-01,189614,
2015,e1715748,2015-09-01,186975,
2015,e1737278,2015-10-01,187875,
2015,e1776834,2015-11-01,212093,
2015,e1778942,2015-12-01,21634,
2016,e1798401,2016-01-01,19632,
2016,e1823078,2016-02-01,24838,
2016,e1845089,2016-03-01,23765,
