Year,File Name,File Date,Record Count,Status (Sent or Pending)
2009,e287384,2009-06-01,4582,
2009,e294786,2009-07-01,4377,
2009,e303116,2009-08-01,4528,
2009,e310117,2009-09-01,4354,
2009,e318296,2009-10-01,4343,
2009,e327692,2009-11-01,4484,
2009,e336424,2009-12-01,4388,
2010,e344528,2010-01-01,4255,
2010,e352820,2010-02-01,4217,
2010,e364806,2010-03-01,4500,
2010,e377522,2010-04-01,4296,
2010,e394481,2010-05-01,4495,
2010,e406023,2010-06-01,4413,
2010,e418957,2010-07-01,4408,
2010,e433057,2010-08-01,4612,
2010,e444795,2010-09-01,4450,
2010,e498472,2010-10-01,4404,
2010,e519175,2010-11-01,4505,
2010,e535246,2010-12-01,4376,
2011,e551553,2011-01-01,4522,
2011,e567014,2011-02-01,4329,
2011,e581449,2011-03-01,4381,
2011,e597948,2011-04-01,4315,
2011,e614309,2011-05-01,4487,
2011,e628528,2011-06-01,4341,
2011,e650068,2011-07-01,4217,
2011,e695143,2011-08-01,4553,
2011,e729730,2011-09-01,5709,
2011,e777067,2011-10-01,4435,
2011,e801405,2011-11-01,4144,
2011,e816950,2011-12-01,4282,
2012,e834108,2012-01-01,4472,
2012,e848996,2012-02-01,4028,
2012,e862793,2012-03-01,4428,
2012,e879493,2012-04-01,4442,
2012,e894503,2012-05-01,4367,
2012,e908683,2012-06-01,4258,
2012,e924799,2012-07-01,4655,
2012,e943599,2012-08-01,4574,
2012,e958012,2012-09-01,4387,
2012,e976084,2012-10-01,4581,
2012,e994315,2012-11-01,4302,
2012,e1012267,2012-12-01,4676,
2013,e1028823,2013-01-01,4496,
2013,e1044699,2013-02-01,4304,
2013,e1059544,2013-03-01,4526,
2013,e1084121,2013-04-01,4691,
2013,e1100792,2013-05-01,4516,
2013,e1116373,2013-06-01,4542,
2013,e1143211,2013-07-01,4763,
2013,e1158915,2013-08-01,4596,
2013,e1180058,2013-09-01,4697,
2013,e1199331,2013-10-01,4375,
2013,e1221033,2013-11-01,4714,
2013,e1238961,2013-12-01,4674,
2014,e1256690,2014-01-01,4601,
2014,e1277123,2014-02-01,4447,
2014,e1299238,2014-03-01,5068,
2014,e1313350,2014-04-01,4814,
2014,e1332184,2014-05-01,4443,
2014,e1353020,2014-06-01,5135,
2014,e1371505,2014-07-01,4744,
2014,e1390471,2014-08-01,4806,
2014,e1410105,2014-09-01,5020,
2014,e1428444,2014-10-01,4749,
2014,e1447478,2014-11-01,4950,
2014,e1466900,2014-12-01,4876,
2015,e1484395,2015-01-01,4495,
2015,e1503940,2015-02-01,4641,
2015,e1523900,2015-03-01,5068,
2015,e1542941,2015-04-01,4799,
2015,e1562453,2015-05-01,4755,
2015,e1582554,2015-06-01,5025,
2015,e1661583,2015-07-01,4713,
2015,e1697772,2015-08-01,5089,
2015,e1715747,2015-09-01,4922,
2015,e1737277,2015-10-01,4619,
2015,e1760553,2015-11-01,4672,
2015,e1778941,2015-12-01,4812,
2016,e1799854,2016-01-01,4423,
2016,e1823077,2016-02-01,4751,
2016,e1845088,2016-03-01,4459,
2016,e1873136,2016-04-01,4088,
2016,e1902117,2016-05-01,4593,
2016,e1917069,2016-06-01,4711,
2016,e1938343,2016-07-01,4283,
2016,e1967302,2016-08-01,4643,
2016,e1992390,2016-09-01,4237,
2016,e2034445,2016-10-01,4743,
2016,e2053581,2016-11-01,4500,
2016,e2074244,2016-12-01,4113,
2017,e2097752,2017-01-01,4690,
2017,e2117718,2017-02-01,4632,
2017,e2137595,2017-03-01,4318,
2017,e2159473,2017-04-01,4207,
2017,e2215343,2017-05-01,4643,
2017,e2235941,2017-06-01,4156,
2017,e2261088,2017-07-01,4444,
2017,e2283747,2017-08-01,4160,
2017,e2307013,2017-09-01,4037,
2017,e2338361,2017-10-01,4387,
2017,e2364677,2017-11-01,3938,
2017,e2389521,2017-12-01,4137,
2018,e2414468,2018-01-01,4116,
2018,e2436786,2018-02-01,3873,
2018,e2458727,2018-03-01,3792,
2018,e2487751,2018-04-01,4007,
2018,e2510550,2018-05-01,4049,
2018,e2535033,2018-06-01,3858,
2018,e2569180,2018-07-01,4054,
2018,e2604405,2018-08-01,3945,
2018,MED8.NMC.DMA.NFOPROV.SEP2018,2018-09-01,3861,
2018,MED8.NMC.DMA.NFOPROV.OCT2018,2018-10-01,4001,
2018,MED8.NMC.DMA.NFOPROV.NOV2018,2018-11-01,3641,
2018,MED8.NMC.DMA.NFOPROV.DEC2018,2018-12-01,3944,
2019,MED8.NMC.DMA.NFOPROV.JAN2019,2019-01-01,3672,
2019,MED8.NMC.DMA.NFOPROV.FEB2019,2019-02-01,3663,
2019,MED8.NMC.DMA.NFOPROV.MAR2019,2019-03-01,3663,
2019,MED8.NMC.DMA.NFOPROV.APR2019,2019-04-01,3801,
2019,MED8.NMC.DMA.NFOPROV.MAY2019,2019-05-01,3498,
2019,MED8.NMC.DMA.NFOPROV.JUN2019,2019-06-01,3503,
2019,MED8.NMC.DMA.NFOPROV.JUL2019,2019-07-01,3703,
2019,MED8.NMC.DMA.NFOPROV.AUG2019,2019-08-01,3355,
2019,MED8.NMC.DMA.NFOPROV.SEP2019,2019-09-01,3764,
2019,MED8.NMC.DMA.NFOPROV.OCT2019,2019-10-01,3496,
2019,MED8.NMC.DMA.NFOPROV.NOV2019,2019-11-01,3483,
2019,MED8.NMC.DMA.NFOPROV.DEC2019,2019-12-01,3644,
2020,MED8.NMC.DMA.NFOPROV.JAN2020,2020-01-01,3553,
2020,MED8.NMC.DMA.NFOPROV.FEB2020,2020-02-01,3472,
2020,MED8.NMC.DMA.NFOPROV.MAR2020,2020-03-01,3610,
2020,MED8.NMC.DMA.NFOPROV.APR20.T,2020-04-01,3259,
2020,MED8.NMC.DMA.NFOPROV.MAY20.T,2020-05-01,3105,
2020,NMC7.MNFOPR.DMA,2020-06-01,3217,
2020,NMC7.MNFOPR.DMA,2020-07-01,3119,
2020,NMC7.MNFOPR.DMA,2020-08-01,3278,
2020,NMC7.MNFOPR.DMA,2020-09-01,5602,
2020,NMC7.MNFOPR.DMA,2020-10-01,5561,
2020,NMC7.MNFOPR.DMA,2020-11-01,5535,
2020,NMC7.MNFOPR.DMA,2020-12-01,5543,
2021,NMC7.MNFOPR.DMA,2021-01-01,5531,
2021,NMC7.MNFOPR.DMA,2021-02-01,5484,
2021,NMC7.MNFOPR.DMA,2021-03-01,5425,
2021,NMC7.MNFOPR.DMA,2021-04-01,5348,
2021,NMC7.MNFOPR.DMA,2021-05-01,5286,
2021,NMC7.MNFOPR.DMA,2021-06-01,5279,
2021,NMC7.MNFOPR.DMA,2021-07-01,5198,
2021,NMC7.MNFOPR.DMA,2021-08-01,5163,
2021,NMC7.MNFOPR.DMA,2021-09-01,5107,
2021,NMC7.MNFOPR.DMA,2021-10-01,5040,
2021,NMC7.MNFOPR.DMA,2021-11-01,5026,
2021,NMC7.MNFOPR.DMA,2021-12-01,4977,
2022,NMC7.MNFOPR.DMA,2022-01-01,4929,
2022,NMC7.MNFOPR.DMA,2022-02-01,4876,
2022,NMC7.MNFOPR.DMA,2022-03-01,4842,
2022,NMC7.MNFOPR.DMA,2022-04-01,4836,
2022,NMC7.MNFOPR.DMA,2022-05-01,4872,
2022,NMC7.MNFOPR.DMA,2022-06-01,4835,
2022,NMC7.MNFOPR.DMA,2022-07-01,4820,
2022,NMC7.MNFOPR.DMA,2022-08-01,4837,
2022,NMC7.MNFOPR.DMA,2022-09-01,4817,
