Year,File Name,File Date,Record Count,Status (Sent or Pending)
2009,e287388,2009-06-01,62734,
2009,e294789,2009-07-01,62797,
2009,e303119,2009-08-01,62780,
2009,e310118,2009-09-01,62709,
2009,e318303,2009-10-01,62935,
2009,e327693,2009-11-01,62943,
2009,e336442,2009-12-01,62927,
2010,e344529,2010-01-01,62755,
2010,e352827,2010-02-01,62128,
2010,e364810,2010-03-01,62476,
2010,e377525,2010-04-01,59702,
2010,e394483,2010-05-01,60065,
2010,e406025,2010-06-01,64075,
2010,e418958,2010-07-01,64809,
2010,e433065,2010-08-01,66014,
2010,e444796,2010-09-01,69061,
2010,e498474,2010-10-01,70516,
2010,e519187,2010-11-01,71903,
2010,e537498,2010-12-01,72751,
2011,e551556,2011-01-01,73194,
2011,e567016,2011-02-01,72511,
2011,e581451,2011-03-01,72433,
2011,e597947,2011-04-01,72061,
2011,e614313,2011-05-01,71804,
2011,e628529,2011-06-01,72075,
2011,e650083,2011-07-01,69225,
2011,e695167,2011-08-01,68272,
2011,e729734,2011-09-01,68317,
2011,e777086,2011-10-01,69091,
2011,e801424,2011-11-01,68971,
2011,e816952,2011-12-01,69466,
2012,e834111,2012-01-01,110138,
2012,e849028,2012-02-01,110367,
2012,e862797,2012-03-01,111696,
2012,e879495,2012-04-01,113339,
2012,e894505,2012-05-01,114850,
2012,e908685,2012-06-01,118140,
2012,e924801,2012-07-01,119835,
2012,e943605,2012-08-01,122189,
2012,e958018,2012-09-01,125925,
2012,e976086,2012-10-01,128917,
2012,e994316,2012-11-01,129725,
2012,e1012268,2012-12-01,133173,
2013,e1028826,2013-01-01,135561,
2013,e1044704,2013-02-01,137097,
2013,e1059546,2013-03-01,138838,
2013,e1084123,2013-04-01,143894,
2013,e1100797,2013-05-01,146517,
2013,e1116377,2013-06-01,149201,
2013,e1143210,2013-07-01,151814,
2013,e1158958,2013-08-01,152698,
2013,e1180061,2013-09-01,157966,
2013,e1199351,2013-10-01,159836,
2013,e1221032,2013-11-01,161108,
2013,e1238960,2013-12-01,163787,
2014,e1256689,2014-01-01,164421,
2014,e1277122,2014-02-01,164516,
2014,e1299101,2014-03-01,166587,
2014,e1313353,2014-04-01,167931,
2014,e1332188,2014-05-01,167417,
2014,e1353033,2014-06-01,169313,
2014,e1371508,2014-07-01,171694,
2014,e1390477,2014-08-01,171355,
2014,e1410189,2014-09-01,172874,
2014,e1429272,2014-10-01,173861,
2014,e1447481,2014-11-01,173345,
2014,e1466908,2014-12-01,177199,
2015,e1484485,2015-01-01,175337,
2015,e1503939,2015-02-01,176742,
2015,e1523979,2015-03-01,179427,
2015,e1543016,2015-04-01,180311,
2015,e1562456,2015-05-01,181365,
2015,e1582561,2015-06-01,183372,
2015,e1662136,2015-07-01,186578,
2015,e1697775,2015-08-01,190427,
2015,e1715780,2015-09-01,192843,
2015,e1737311,2015-10-01,194252,
2015,e1760612,2015-11-01,196307,
2015,e1778943,2015-12-01,196701,
2016,e1798485,2016-01-01,196765,
2016,e1823081,2016-02-01,196859,
2016,e1845090,2016-03-01,199496,
2016,e1873138,2016-04-01,201831,
2016,e1902115,2016-05-01,204980,
2016,e1917072,2016-06-01,207599,
2016,e1938347,2016-07-01,210363,
2016,e1967308,2016-08-01,213953,
2016,e1992465,2016-09-01,241184,
2016,e2031983,2016-10-01,256901,
2016,e2053656,2016-11-01,272041,
2016,e2074310,2016-12-01,295445,
2017,e2097756,2017-01-01,302186,
2017,e2117747,2017-02-01,307620,
2017,e2137628,2017-03-01,312005,
2017,e2159476,2017-04-01,314956,
2017,e2215349,2017-05-01,317904,
2017,e2235943,2017-06-01,316193,
2017,e2261091,2017-07-01,318679,
2017,e2283750,2017-08-01,315929,
2017,e2307017,2017-09-01,313986,
2017,e2338406,2017-10-01,317387,
2017,e2364682,2017-11-01,325424,
2017,e2389547,2017-12-01,327546,
2018,e2414546,2018-01-01,328496,
2018,e2436878,2018-02-01,332075,
2018,e2458857,2018-03-01,331459,
2018,e2487842,2018-04-01,331921,
2018,e2510559,2018-05-01,333422,
2018,e2535079,2018-06-01,338661,
2018,e2569277,2018-07-01,341755,
2018,e2604412,2018-08-01,343726,
2018,MED8.NMC.DMA.PROV.SEP2018,2018-09-01,396904,
2018,MED8.NMC.DMA.PROV.OCT2018,2018-10-01,400029,
2018,MED8.NMC.DMA.PROV.NOV2018,2018-11-01,400508,
2018,MED8.NMC.DMA.PROV.DEC2018,2018-12-01,392398,
2019,MED8.NMC.DMA.PROV.JAN2019,2019-01-01,404658,
2019,MED8.NMC.DMA.PROV.FEB2019,2019-02-01,404809,
2019,MED8.NMC.DMA.PROV.MAR2019,2019-03-01,407007,
2019,MED8.NMC.DMA.PROV.APR2019,2019-04-01,406612,
2019,MED8.NMC.DMA.PROV.MAY2019,2019-05-01,407743,
2019,MED8.NMC.DMA.PROV.JUN2019,2019-06-01,410738,
2019,MED8.NMC.DMA.PROV.JUL2019,2019-07-01,410363,
2019,MED8.NMC.DMA.PROV.AUG2019,2019-08-01,408170,
2019,MED8.NMC.DMA.PROV.SEP2019,2019-09-01,409256,
2019,MED8.NMC.DMA.PROV.OCT2019,2019-10-01,408193,
2019,MED8.NMC.DMA.PROV.NOV2019,2019-11-01,412793,
2019,MED8.NMC.DMA.PROV.DEC2019,2019-12-01,414341,
2020,MED8.NMC.DMA.PROV.JAN2020,2020-01-01,414848,
2020,MED8.NMC.DMA.PROV.FEB2020,2020-02-01,413336,
2020,MED8.NMC.DMA.PROV.MAR2020,2020-03-01,415424,
2020,NMC7.MPR.DMA,2020-04-01,417710,
2020,NMC7.MPR.DMA,2020-05-01,418160,
2020,NMC7.MPR.DMA,2020-06-01,421770,
2020,NMC7.MPR.DMA,2020-07-01,421524,
2020,NMC7.MPR.DMA,2020-08-01,423435,
2020,NMC7.MPR.DMA,2020-09-01,425988,
2020,NMC7.MPR.DMA,2020-10-01,426653,
2020,NMC7.MPR.DMA,2020-11-01,428936,
2020,NMC7.MPR.DMA,2020-12-01,439847,
2021,NMC7.MPR.DMA,2021-01-01,445143,
2021,NMC7.MPR.DMA,2021-02-01,446571,
2021,NMC7.MPR.DMA,2021-03-01,445091,
2021,NMC7.MPR.DMA,2021-04-01,446263,
2021,NMC7.MPR.DMA,2021-05-01,446682,
2021,NMC7.MPR.DMA,2021-06-01,448159,
2021,NMC7.MPR.DMA,2021-07-01,449272,
2021,NMC7.MPR.DMA,2021-08-01,452766,
2021,NMC7.MPR.DMA,2021-09-01,450940,
2021,NMC7.MPR.DMA,2021-10-01,447711,
2021,NMC7.MPR.DMA,2021-11-01,446591,
2021,NMC7.MPR.DMA,2021-12-01,438720,
2022,NMC7.MPR.DMA,2022-01-01,437711,
2022,NMC7.MPR.DMA,2022-02-01,438004,
2022,NMC7.MPR.DMA,2022-03-01,435902,
2022,NMC7.MPR.DMA,2022-04-01,435467,
2022,NMC7.MPR.DMA,2022-05-01,460033,
2022,NMC7.MPR.DMA,2022-06-01,467566,
2022,NMC7.MPR.DMA,2022-07-01,464935,
