Year,File Name,File Date,Record Count,Status (Sent or Pending)
2010,e377528,2010-04-01,34974,
2010,e394486,2010-05-01,205197,
2010,e406028,2010-06-01,32581,
2010,e418961,2010-07-01,37606,
2010,e433068,2010-08-01,39896,
2010,e444799,2010-09-01,33835,
2010,e498478,2010-10-01,35404,
2010,e519190,2010-11-01,42247,
2010,e536362,2010-12-01,34869,
2011,e551559,2011-01-01,38815,
2011,e567019,2011-02-01,34328,
2011,e581454,2011-03-01,35997,
2011,e597951,2011-04-01,36007,
2011,e614316,2011-05-01,41099,
2011,e628532,2011-06-01,38930,
2011,e650086,2011-07-01,55051,
2011,e695177,2011-08-01,58684,
2011,e729739,2011-09-01,47230,
2011,e777089,2011-10-01,59458,
2011,e801429,2011-11-01,45657,
2011,e816955,2011-12-01,54461,
2012,e834115,2012-01-01,51235,
2012,e849023,2012-02-01,46794,
2012,e862800,2012-03-01,52576,
2012,e879498,2012-04-01,56454,
2012,e894507,2012-05-01,50276,
2012,e908688,2012-06-01,46294,
2012,e924804,2012-07-01,55842,
2012,e943608,2012-08-01,55667,
2012,e958021,2012-09-01,50062,
2012,e976089,2012-10-01,61384,
2012,e994319,2012-11-01,50450,
2012,e1012271,2012-12-01,56208,
2013,e1028829,2013-01-01,42310,
2013,e1044707,2013-02-01,39889,
2013,e1059549,2013-03-01,40752,
2013,e1084126,2013-04-01,37527,
2013,e1100800,2013-05-01,39185,
2013,e1116380,2013-06-01,29401,
2013,e1143217,2013-07-01,44108,
2013,e1158961,2013-08-01,38591,
2013,e1180064,2013-09-01,31369,
2013,e1199354,2013-10-01,19955,
2013,e1221036,2013-11-01,29060,
2013,e1238875,2013-12-01,19684,
2014,e1256705,2014-01-01,15368,
2014,e1277126,2014-02-01,17742,
2014,e1299139,2014-03-01,24557,
2014,e1313356,2014-04-01,22825,
2014,e1332190,2014-05-01,10089,
2014,e1353035,2014-06-01,5313,
2014,e1371518,2014-07-01,5816,
2014,e1390479,2014-08-01,7044,
2014,e1410198,2014-09-01,26020,
2014,e1429323,2014-10-01,3653,
2014,e1447499,2014-11-01,2951,
2014,e1466947,2014-12-01,4496,
2015,e1484493,2015-01-01,3534,
2015,e1503976,2015-02-01,3500,
2015,e1523981,2015-03-01,4502,
2015,e1543020,2015-04-01,4042,
2015,e1562458,2015-05-01,4356,
2015,e1582593,2015-06-01,5143,
2015,e1662248,2015-07-01,3889,
2015,e1697777,2015-08-01,5029,
2015,e1715818,2015-09-01,4517,
2015,e1737310,2015-10-01,4503,
2015,e1760628,2015-11-01,4022,
2015,e1778973,2015-12-01,4300,
2016,e1798488,2016-01-01,4084,
2016,e1823113,2016-02-01,4130,
2016,e1845122,2016-03-01,3066,
2016,e1873210,2016-04-01,3885,
2016,e1902119,2016-05-01,4674,
2016,e1917074,2016-06-01,3987,
2016,e1938349,2016-07-01,3119,
2016,e1967379,2016-08-01,4887,
2016,e1992466,2016-09-01,4156,
2016,e2031949,2016-10-01,5617,
2016,e2053657,2016-11-01,4470,
2016,e2074312,2016-12-01,4770,
2017,e2097755,2017-01-01,3495,
2017,e2117748,2017-02-01,2324,
2017,e2137626,2017-03-01,2221,
2017,e2159478,2017-04-01,2135,
2017,e2215347,2017-05-01,2564,
2017,e2235946,2017-06-01,1611,
2017,e2261093,2017-07-01,2184,
2017,e2283759,2017-08-01,2493,
2017,e2307020,2017-09-01,2082,
2017,e2338409,2017-10-01,1364,
2017,e2364684,2017-11-01,325,
2017,e2389549,2017-12-01,391,
2018,e2414547,2018-01-01,364,
2018,e2436881,2018-02-01,292,
2018,e2458856,2018-03-01,329,
2018,e2487843,2018-04-01,358,
2018,e2510630,2018-05-01,296,
2018,e2535080,2018-06-01,279,
2018,e2569278,2018-07-01,375,
2018,e2604413,2018-08-01,245,
2018,MED8.NMC.DMA.PA.SEP2018,2018-09-01,300,
2018,MED8.NMC.DMA.PA.OCT2018,2018-10-01,294,
2018,MED8.NMC.DMA.PA.NOV2018,2018-11-01,196,
2018,MED8.NMC.DMA.PA.DEC2018,2018-12-01,297,
2019,MED8.NMC.DMA.PA.JAN2019,2019-01-01,278,
2019,MED8.NMC.DMA.PA.FEB2019,2019-02-01,275,
2019,MED8.NMC.DMA.PA.MAR2019,2019-03-01,397,
2019,MED8.NMC.DMA.PA.APR2019,2019-04-01,405,
2019,MED8.NMC.DMA.PA.MAY2019,2019-05-01,437,
2019,MED8.NMC.DMA.PA.JUN2019,2019-06-01,252,
2019,MED8.NMC.DMA.PA.JUL2019,2019-07-01,343,
2019,MED8.NMC.DMA.PA.AUG2019,2019-08-01,261,
2019,MED8.NMC.DMA.PA.SEP2019,2019-09-01,367,
2019,MED8.NMC.DMA.PA.OCT2019,2019-10-01,339,
2019,MED8.NMC.DMA.PA.NOV2019,2019-11-01,373,
2019,MED8.NMC.DMA.PA.DEC2019,2019-12-01,357,
2020,MED8.NMC.DMA.PA.JAN2020,2020-01-01,296,
2020,MED8.NMC.DMA.PA.FEB2020,2020-02-01,272,
2020,MED8.NMC.DMA.PA.MAR2020,2020-03-01,385,
2020,NMC7.MPA.DMA,2020-04-01,250,
2020,NMC7.MPA.DMA,2020-05-01,205,
2020,NMC7.MPA.DMA,2020-06-01,257,
2020,NMC7.MPA.DMA,2020-07-01,249,
2020,NMC7.MPA.DMA,2020-08-01,315,
2020,NMC7.MPA.DMA,2020-09-01,209,
2020,NMC7.MPA.DMA,2020-10-01,225,
2020,NMC7.MPA.DMA,2020-11-01,244,
2020,NMC7.MPA.DMA,2020-12-01,211,
2021,NMC7.MPA.DMA,2021-01-01,214,
2021,NMC7.MPA.DMA,2021-02-01,246,
2021,NMC7.MPA.DMA,2021-03-01,322,
2021,NMC7.MPA.DMA,2021-04-01,267,
2021,NMC7.MPA.DMA,2021-05-01,179,
2021,NMC7.MPA.DMA,2021-06-01,216,
2021,NMC7.MPA.DMA,2021-07-01,196,
2021,NMC7.MPA.DMA,2021-08-01,241,
2021,NMC7.MPA.DMA,2021-09-01,196,
2021,NMC7.MPA.DMA,2021-10-01,173,
2021,NMC7.MPA.DMA,2021-11-01,207,
2021,NMC7.MPA.DMA,2021-12-01,285,
2022,NMC7.MPA.DMA,2022-01-01,265,
2022,NMC7.MPA.DMA,2022-02-01,222,
2022,NMC7.MPA.DMA,2022-03-01,272,
2022,NMC7.MPA.DMA,2022-04-01,255,
2022,NMC7.MPA.DMA,2022-05-01,219,
2022,NMC7.MPA.DMA,2022-06-01,131,
2022,NMC7.MPA.DMA,2022-07-01,277,
2022,NMC7.MPA.DMA,2022-08-01,4710,
2022,NMC7.MPA.DMA,2022-09-01,310,
2022,NMC7.MPA.DMA,2022-10-01,204,
2022,NMC7.MPA.DMA,2022-11-01,211,
2022,NMC7.MPA.DMA,2022-12-01,294,
2023,NMC7.MPA.DMA,2023-01-01,244,
2023,NMC7.MPA.DMA,2023-02-01,386,
2023,NMC7.MPA.DMA,2023-03-01,320,
2023,NMC7.MPA.DMA,2023-04-01,392,
2023,NMC7.MPA.DMA,2023-05-01,413,
2023,NMC7.MPA.DMA,2023-06-01,262,
2023,NMC7.MPA.DMA,2023-07-01,3554,
2023,NMC7.MPA.DMA,2023-08-01,1415,
2023,NMC7.MPA.DMA,2023-09-01,766,
2023,NMC7.MPA.DMA,2023-10-01,660,
2023,NMC7.MPA.DMA,2023-11-01,511,
2023,NMC7.MPA.DMA,2023-12-01,509,
2024,NMC7.MPA.DMA,2024-01-01,457,
2024,NMC7.MPA.DMA,2024-02-01,475,
2024,NMC7.MPA.DMA,2024-03-01,387,
2024,NMC7.MPA.DMA,2024-04-01,712,
2024,NMC7.MPA.DMA,2024-05-01,565,
2024,NMC7.MPA.DMA,2024-06-01,366,
2024,NMC7.MPA.DMA,2024-07-01,673,
2024,NMC7.MPA.DMA,2024-08-01,407,
2024,NMC7.MPA.DMA,2024-09-01,566,
2024,NMC7.MPA.DMA,2024-10-01,328,
2024,NMC7.MPA.DMA,2024-11-01,357,
2024,NMC7.MPA.DMA,2024-12-01,451,
