Year,File Name,File Date,Record Count,Status (Sent or Pending)
2005,e38624,2005-04-01,389246,
2005,e41383,2005-05-01,390431,
2005,e43358,2005-06-01,386523,
2005,e45962,2005-07-01,409943,
2005,e49218,2005-08-01,410595,
2005,e51549,2005-09-01,408061,
2005,e54559,2005-10-01,410903,
2005,e57788,2005-11-01,407714,
2005,e59761,2005-12-01,383922,
2006,e63063,2006-01-01,384065,
2006,e66144,2006-02-01,380038,
2006,e69383,2006-03-01,377688,
2006,e72870,2006-04-01,527020,
2006,e76818,2006-05-01,528540,
2006,e79550,2006-06-01,527177,
2006,e83828,2006-07-01,530082,
2006,e87276,2006-08-01,531643,
2006,e90210,2006-09-01,501870,
2006,e94710,2006-10-01,506254,
2006,e97958,2006-11-01,504551,
2006,e101148,2006-12-01,503624,
2007,e105823,2007-01-01,507869,
2007,e111269,2007-02-01,506376,
2007,e114842,2007-03-01,504308,
2007,e120645,2007-04-01,507680,
2007,e126639,2007-05-01,504648,
2007,e130633,2007-06-01,503832,
2007,e135792,2007-07-01,506427,
2007,e139640,2007-08-01,505999,
2007,e143728,2007-09-01,503456,
2007,e151828,2007-10-01,505361,
2007,e156542,2007-11-01,505239,
2007,e161735,2007-12-01,501775,
2008,e166904,2008-01-01,506395,
2008,e172763,2008-02-01,503967,
2008,e178626,2008-03-01,505374,
2008,e185259,2008-04-01,505012,
2008,e191208,2008-05-01,501311,
2008,e198598,2008-06-01,501463,
2008,e206701,2008-07-01,499441,
2008,e214608,2008-08-01,501019,
2008,e222350,2008-09-01,498466,
2008,e229384,2008-10-01,500872,
2008,e236437,2008-11-01,501040,
2008,e243138,2008-12-01,500318,
2009,e249311,2009-01-01,518340,
2009,e256291,2009-02-01,518450,
2009,e264898,2009-03-01,523707,
2009,e272336,2009-04-01,530379,
2009,e279843,2009-05-01,532904,
2009,e287387,2009-06-01,536503,
2009,e294791,2009-07-01,540147,
2009,e303121,2009-08-01,545592,
2009,e310120,2009-09-01,532015,
2009,e318305,2009-10-01,539858,
2009,e327695,2009-11-01,547307,
2009,e336444,2009-12-01,540651,
2010,e344531,2010-01-01,542609,
2010,e352825,2010-02-01,542274,
2010,e364809,2010-03-01,546195,
2010,e377527,2010-04-01,726013,
2010,e394485,2010-05-01,641845,
2010,e406027,2010-06-01,642583,
2010,e418960,2010-07-01,638026,
2010,e433067,2010-08-01,709028,
2010,e444798,2010-09-01,718240,
2010,e498476,2010-10-01,721836,
2010,e519189,2010-11-01,722619,
2010,e537499,2010-12-01,719860,
2011,e551558,2011-01-01,730899,
2011,e567018,2011-02-01,733231,
2011,e581453,2011-03-01,1052411,
2011,e597950,2011-04-01,990237,
2011,e614315,2011-05-01,978786,
2011,e628531,2011-06-01,977113,
2011,e650085,2011-07-01,978631,
2011,e695171,2011-08-01,990749,
2011,e729736,2011-09-01,986971,
2011,e777088,2011-10-01,795454,
2011,e801427,2011-11-01,796291,
2011,e816954,2011-12-01,798202,
2012,e834113,2012-01-01,797543,
2012,e849022,2012-02-01,810990,
2012,e862799,2012-03-01,806821,
2012,e879496,2012-04-01,808959,
2012,e894506,2012-05-01,818900,
2012,e908687,2012-06-01,819363,
2012,e924803,2012-07-01,815652,
2012,e943607,2012-08-01,873800,
2012,e958020,2012-09-01,867188,
2012,e976088,2012-10-01,889170,
2012,e994318,2012-11-01,891186,
2012,e1012270,2012-12-01,882707,
2013,e1028827,2013-01-01,876325,
2013,e1044706,2013-02-01,886924,
2013,e1059548,2013-03-01,829717,
2013,e1084125,2013-04-01,822249,
2013,e1100799,2013-05-01,805978,
2013,e1116379,2013-06-01,798070,
2013,e1143213,2013-07-01,802298,
2013,e1158960,2013-08-01,800742,
2013,e1180063,2013-09-01,806552,
2013,e1199353,2013-10-01,990141,
2013,e1221035,2013-11-01,994313,
2013,e1238963,2013-12-01,999981,
2014,e1256692,2014-01-01,998275,
2014,e1277125,2014-02-01,1025818,
2014,e1299150,2014-03-01,1063114,
2014,e1313352,2014-04-01,1070346,
2014,e1332187,2014-05-01,881575,
2014,e1353036,2014-06-01,875877,
2014,e1371507,2014-07-01,862167,
2014,e1390476,2014-08-01,868606,
2014,e1410197,2014-09-01,830705,
2014,e1428540,2014-10-01,802286,
2014,e1447480,2014-11-01,780994,
2014,e1466906,2014-12-01,772497,
2015,e1484478,2015-01-01,764889,
2015,e1503983,2015-02-01,774261,
2015,e1523952,2015-03-01,763978,
2015,e1542967,2015-04-01,762650,
2015,e1562455,2015-05-01,761491,
2015,e1582555,2015-06-01,762295,
2015,e1661915,2015-07-01,754980,
2015,e1697774,2015-08-01,764476,
2015,e1715749,2015-09-01,756021,
2015,e1737309,2015-10-01,761105,
2015,e1760557,2015-11-01,761032,
2015,e1778972,2015-12-01,745715,
2016,e1798487,2016-01-01,740523,
2016,e1823112,2016-02-01,750809,
2016,e1845121,2016-03-01,749029,
2016,e1873209,2016-04-01,749085,
2016,e1902118,2016-05-01,747407,
2016,e1917073,2016-06-01,743920,
2016,e1938348,2016-07-01,740820,
2016,e1967309,2016-08-01,741714,
2016,e1992397,2016-09-01,736592,
2016,e2031984,2016-10-01,739399,
2016,e2053589,2016-11-01,738322,
2016,e2074311,2016-12-01,738277,
2017,e2097757,2017-01-01,740600,
2017,e2117719,2017-02-01,948178,
2017,e2137629,2017-03-01,955565,
2017,e2164566,2017-04-01,954706,
2017,e2215345,2017-05-01,961705,
2017,e2235944,2017-06-01,957226,
2017,e2261092,2017-07-01,960101,
2017,e2283748,2017-08-01,957991,
2017,e2307018,2017-09-01,744395,
2017,e2338407,2017-10-01,725454,
2017,e2364681,2017-11-01,930768,
2017,e2389550,2017-12-01,919388,
2018,e2414549,2018-01-01,920410,
2018,e2436880,2018-02-01,926307,
2018,e2458860,2018-03-01,929125,
2018,e2487844,2018-04-01,933293,
2018,e2510560,2018-05-01,936753,
2018,e2535081,2018-06-01,720279,
2018,e2569192,2018-07-01,721274,
