Year,File Name,File Date,Record Count,Status (Sent or Pending)
2009,e276225,2009-03-01,4519,
2009,e296305,2009-06-01,4095,
2009,e320703,2009-09-01,4036,
2009,e346122,2009-12-01,4073,
2010,e380871,2010-03-01,2829,
2010,e421600,2010-06-01,1886,
2010,e501267,2010-09-01,1181,
2010,e860955,2010-12-01,4834,
2011,e861494,2011-03-01,5026,
2011,e861777,2011-06-01,4797,
2011,e861829,2011-09-01,4688,
2011,e862424,2011-12-01,4834,
2012,e884192,2012-03-01,5260,
2012,e930695,2012-06-01,5107,
2012,e1004709,2012-09-01,4932,
2012,e1033795,2012-12-01,4869,
2013,e1087871,2013-03-01,5396,
2013,e1145103,2013-06-01,4954,
2013,e1204021,2013-09-01,4984,
2013,e1260462,2013-12-01,4718,
2014,e1319655,2014-03-01,5163,
2014,e1426254,2014-06-01,4843,
2014,e1432877,2014-09-01,4584,
2014,e1488809,2014-12-01,4471,
2015,e1548167,2015-03-01,4712,
2015,e1676859,2015-06-01,4743,
2015,e1742472,2015-09-01,4529,
2015,e1803176,2015-12-01,4362,
2016,e1877677,2016-03-01,4387,
2016,e1942731,2016-06-01,4331,
2016,e2038866,2016-09-01,4383,
2016,e2103036,2016-12-01,4342,
2017,e2163263,2017-03-01,4349,
2017,e2216436,2017-05-01,6276,
2017,e2235945,2017-06-01,6325,
2017,e2261087,2017-07-01,6345,
2017,e2283758,2017-08-01,6360,
2017,e2307019,2017-09-01,6370,
2017,e2338408,2017-10-01,6387,
2017,e2364683,2017-11-01,6394,
2017,e2389548,2017-12-01,6027,
2018,e2414548,2018-01-01,5923,
2018,e2436879,2018-02-01,5834,
2018,e2458864,2018-03-01,5898,
2018,e2487845,2018-04-01,6309,
2018,e2510561,2018-05-01,6507,
2018,e2535082,2018-06-01,6652,
2018,e2569330,2018-07-01,6826,
2018,e2604415,2018-08-01,6967,
2018,MED8.NMC.DMA.SLMBY.SEP2018,2018-09-01,7039,
2018,MED8.NMC.DMA.SLMBY.OCT2018,2018-10-01,7102,
2018,MED8.NMC.DMA.SLMBY.NOV2018,2018-11-01,7038,
2018,MED8.NMC.DMA.SLMBY.DEC2018,2018-12-01,6794,
2019,MED8.NMC.DMA.SLMBY.JAN2019,2019-01-01,6646,
2019,MED8.NMC.DMA.SLMBY.FEB2019,2019-02-01,6534,
2019,MED8.NMC.DMA.SLMBY.MAR2019,2019-03-01,6605,
2019,MED8.NMC.DMA.SLMBY.APR2019,2019-04-01,6693,
2019,MED8.NMC.DMA.SLMBY.MAY2019,2019-05-01,6733,
2019,MED8.NMC.DMA.SLMBY.JUN2019,2019-06-01,6782,
2019,MED8.NMC.DMA.SLMBY.JUL2019,2019-07-01,6947,
2019,MED8.NMC.DMA.SLMBY.AUG2019,2019-08-01,7098,
2019,MED8.NMC.DMA.SLMBY.SEP2019,2019-09-01,7226,
2019,MED8.NMC.DMA.SLMBY.OCT2019,2019-10-01,7287,
2019,MED8.NMC.DMA.SLMBY.NOV2019,2019-11-01,7182,
2019,MED8.NMC.DMA.SLMBY.DEC2019,2019-12-01,7225,
2020,MED8.NMC.DMA.SLMBY.JAN2020,2020-01-01,7164,
2020,MED8.NMC.DMA.SLMBY.FEB2020,2020-02-01,7145,
2020,MED8.NMC.DMA.SLMBY.MAR2020,2020-03-01,7363,
2020,NMC7.MSLMB.DMA,2020-04-01,7385,
