Year,File Name,File Date,Record Count,Status (Sent or Pending)
2017,e2238830,2017-06-01,239768,
2017,e2261090,2017-07-01,238668,
2017,e2283757,2017-08-01,239036,
2017,e2307016,2017-09-01,238247,
2017,e2338405,2017-10-01,237774,
2017,e2364680,2017-11-01,236952,
2017,e2389546,2017-12-01,236484,
2018,e2414545,2018-01-01,233748,
2018,e2436876,2018-02-01,233194,
2018,e2458801,2018-03-01,232546,
2018,e2487841,2018-04-01,230670,
2018,e2510629,2018-05-01,229192,
2018,e2535057,2018-06-01,228123,
2018,e2569276,2018-07-01,227740,
2018,e2604411,2018-08-01,227179,
2018,MED8.NMC.DMA.TPLHIST.SEP2018,2018-09-01,226655,
2018,MED8.NMC.DMA.TPLHIST.OCT2018,2018-10-01,225902,
2018,MED8.NMC.DMA.TPLHIST.NOV2018,2018-11-01,224791,
2018,MED8.NMC.DMA.TPLHIST.DEC2018,2018-12-01,225242,
2019,MED8.NMC.DMA.TPLHIST.JAN2019,2019-01-01,220084,
2019,MED8.NMC.DMA.TPLHIST.FEB2019,2019-02-01,221995,
2019,MED8.NMC.DMA.TPLHIST.MAR2019,2019-03-01,221078,
2019,MED8.NMC.DMA.TPLHIST.APR2019,2019-04-01,218016,
2019,MED8.NMC.DMA.TPLHIST.MAY2019,2019-05-01,217388,
2019,MED8.NMC.DMA.TPLHIST.JUN2019,2019-06-01,217046,
2019,MED8.NMC.DMA.TPLHIST.JUL2019,2019-07-01,216227,
2019,MED8.NMC.DMA.TPLHIST.AUG2019,2019-08-01,215426,
2019,MED8.NMC.DMA.TPLHIST.SEP2019,2019-09-01,214490,
2019,MED8.NMC.DMA.TPLHIST.OCT2019,2019-10-01,214306,
2019,MED8.NMC.DMA.TPLHIST.NOV2019,2019-11-01,213635,
2019,MED8.NMC.DMA.TPLHIST.DEC2019,2019-12-01,213931,
2020,MED8.NMC.DMA.TPLHIST.JAN2020,2020-01-01,209740,
2020,MED8.NMC.DMA.TPLHST.FEB2020,2020-02-01,208928,
2020,MED8.NMC.DMA.TPLHST.MAR2020,2020-03-01,208683,
2020,NMC7.MTPL.DMA,2020-04-01,205138,
2020,NMC7.MTPL.DMA,2020-05-01,203204,
2020,NMC7.MTPL.DMA,2020-06-01,202567,
2020,NMC7.MTPL.DMA,2020-07-01,201442,
2020,NMC7.MTPL.DMA,2020-08-01,199637,
2020,NMC7.MTPL.DMA,2020-09-01,197063,
2020,NMC7.MTPL.DMA,2020-10-01,196150,
2020,NMC7.MTPL.DMA,2020-11-01,195540,
2020,NMC7.MTPL.DMA,2020-12-01,195595,
2021,NMC7.MTPL.DMA,2021-01-01,297301,
2021,NMC7.MTPL.DMA,2021-02-01,187680,
2021,NMC7.MTPL.DMA,2021-03-01,186830,
2021,NMC7.MTPL.DMA,2021-04-01,183596,
2021,NMC7.MTPL.DMA,2021-05-01,182443,
2021,NMC7.MTPL.DMA,2021-06-01,181159,
2021,NMC7.MTPL.DMA,2021-07-01,179988,
2021,NMC7.MTPL.DMA,2021-08-01,179412,
2021,NMC7.MTPL.DMA,2021-09-01,177835,
2021,NMC7.MTPL.DMA,2021-10-01,176927,
2021,NMC7.MTPL.DMA,2021-11-01,175994,
2021,NMC7.MTPL.DMA,2021-12-01,175211,
2022,NMC7.MTPL.DMA,2022-01-01,168967,
2022,NMC7.MTPL.DMA,2022-02-01,167864,
2022,NMC7.MTPL.DMA,2022-03-01,167369,
2022,NMC7.MTPL.DMA,2022-04-01,166322,
2022,NMC7.MTPL.DMA,2022-05-01,165522,
2022,NMC7.MTPL.DMA,2022-06-01,164417,
2022,NMC7.MTPL.DMA,2022-07-01,162926,
2022,NMC7.MTPL.DMA,2022-08-01,161799,
2022,NMC7.MTPL.DMA,2022-09-01,160432,
2022,NMC7.MTPL.DMA,2022-10-01,159994,
2022,NMC7.MTPL.DMA,2022-11-01,159171,
2022,NMC7.MTPL.DMA,2022-12-01,158461,
2023,NMC7.MTPL.DMA,2023-01-01,151351,
2023,NMC7.MTPL.DMA,2023-02-01,150044,
2023,NMC7.MTPL.DMA,2023-03-01,149600,
2023,NMC7.MTPL.DMA,2023-04-01,149386,
2023,NMC7.MTPL.DMA,2023-05-01,149503,
2023,NMC7.MTPL.DMA,2023-06-01,148924,
2023,NMC7.MTPL.DMA,2023-07-01,148444,
2023,NMC7.MTPL.DMA,2023-08-01,147587,
2023,NMC7.MTPL.DMA,2023-09-01,146352,
2023,NMC7.MTPL.DMA,2023-10-01,145510,
2023,NMC7.MTPL.DMA,2023-11-01,144715,
2023,NMC7.MTPL.DMA,2023-12-01,143949,
2024,NMC7.MTPL.DMA,2024-01-01,136532,
2024,NMC7.MTPL.DMA,2024-02-01,135472,
2024,NMC7.MTPL.DMA,2024-03-01,135108,
2024,NMC7.MTPL.DMA,2024-04-01,134614,
2024,NMC7.MTPL.DMA,2024-05-01,134098,
2024,NMC7.MTPL.DMA,2024-06-01,133879,
2024,NMC7.MTPL.DMA,2024-07-01,133955,
2024,NMC7.MTPL.DMA,2024-08-01,133890,
2024,NMC7.MTPL.DMA,2024-09-01,133557,
2024,NMC7.MTPL.DMA,2024-10-01,133427,
2024,NMC7.MTPL.DMA,2024-11-01,133638,
2024,NMC7.MTPL.DMA,2024-12-01,133843,
2025,NMC7.MTPL.DMA,2025-01-01,129951,
2025,NMC7.MTPL.DMA,2025-02-01,129966,
2025,NMC7.MTPL.DMA,2025-03-01,130707,
2025,NMC7.MTPL.DMA,2025-04-01,130978,
2025,NMC7.MTPL.DMA,2025-05-01,131688,
2025,NMC7.MTPL.DMA,2025-06-01,132225,
2025,NMC7.MTPL.DMA,2025-07-01,132423,
2025,NMC7.MTPL.DMA,2025-08-01,133958,
2025,NMC7.MTPL.DMA,2025-09-01,134566,
2025,NMC7.MTPL.DMA,2025-10-01,135402,
2025,NMC7.MTPL.DMA,2025-11-01,136340,
2025,NMC7.MTPL.DMA,2025-12-01,137536,
2026,NMC7.MTPL.DMA,2026-01-01,136129,
2026,NMC7.MTPL.DMA,2026-02-01,136670,
2026,NMC7.MTPL.DMA,2026-03-01,137679,
2026,NMC7.MTPL.DMA,2026-04-01,138395,
2026,NMC7.MTPL.DMA,2026-05-01,139677,
2026,NMC7.MTPL.DMA,2026-06-01,140624,
2026,NMC7.MTPL.DMA,2026-07-01,141315,
2026,NMC7.MTPL.DMA,2026-08-01,141997,
